year,quarter,name,rssdid,Lender_Name,Lender_Id
2009,1,BANK OF HANCOCK COUNTY,37,,
2009,2,BANK OF HANCOCK COUNTY,37,,
2009,3,BANK OF HANCOCK COUNTY,37,,
2009,4,BANK OF HANCOCK COUNTY,37,,
2009,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2009,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2009,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2009,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2009,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2009,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2009,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2009,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2009,1,BISON STATE BANK,354,,
2009,2,BISON STATE BANK,354,,
2009,3,BISON STATE BANK,354,,
2009,4,BISON STATE BANK,354,,
2009,1,LOWRY STATE BANK,457,,
2009,2,LOWRY STATE BANK,457,,
2009,3,LOWRY STATE BANK,457,,
2009,4,LOWRY STATE BANK,457,,
2009,1,BALLSTON SPA NATIONAL BANK,505,,
2009,2,BALLSTON SPA NATIONAL BANK,505,,
2009,3,BALLSTON SPA NATIONAL BANK,505,,
2009,4,BALLSTON SPA NATIONAL BANK,505,,
2009,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2009,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2009,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2009,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2009,1,BANK OF GRANDIN,1351,,
2009,2,BANK OF GRANDIN,1351,,
2009,3,BANK OF GRANDIN,1351,,
2009,4,BANK OF GRANDIN,1351,,
2009,1,HILLTOP NATIONAL BANK,1454,,
2009,2,HILLTOP NATIONAL BANK,1454,,
2009,3,HILLTOP NATIONAL BANK,1454,,
2009,4,HILLTOP NATIONAL BANK,1454,,
2009,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2009,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2009,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2009,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2009,1,SEA ISLAND BANK,1632,,
2009,2,SEA ISLAND BANK,1632,,
2009,3,SEA ISLAND BANK,1632,,
2009,4,SEA ISLAND BANK,1632,,
2009,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2009,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2009,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2009,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2009,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2009,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2009,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2009,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2009,1,WASHITA STATE BANK,1856,,
2009,2,WASHITA STATE BANK,1856,,
