year,quarter,name,rssdid,Lender_Name,Lender_Id
2013,1,BANK OF HANCOCK COUNTY,37,,
2013,2,BANK OF HANCOCK COUNTY,37,,
2013,3,BANK OF HANCOCK COUNTY,37,,
2013,4,BANK OF HANCOCK COUNTY,37,,
2013,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2013,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2013,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2013,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2013,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2013,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2013,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2013,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2013,1,BISON STATE BANK,354,,
2013,2,BISON STATE BANK,354,,
2013,3,BISON STATE BANK,354,,
2013,4,BISON STATE BANK,354,,
2013,1,LOWRY STATE BANK,457,,
2013,2,LOWRY STATE BANK,457,,
2013,3,LOWRY STATE BANK,457,,
2013,4,LOWRY STATE BANK,457,,
2013,1,BALLSTON SPA NATIONAL BANK,505,,
2013,2,BALLSTON SPA NATIONAL BANK,505,,
2013,3,BALLSTON SPA NATIONAL BANK,505,,
2013,4,BALLSTON SPA NATIONAL BANK,505,,
2013,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2013,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2013,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2013,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2013,1,BANK OF GRANDIN,1351,,
2013,2,BANK OF GRANDIN,1351,,
2013,3,BANK OF GRANDIN,1351,,
2013,4,BANK OF GRANDIN,1351,,
2013,1,HILLTOP NATIONAL BANK,1454,,
2013,2,HILLTOP NATIONAL BANK,1454,,
2013,3,HILLTOP NATIONAL BANK,1454,,
2013,4,HILLTOP NATIONAL BANK,1454,,
2013,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2013,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2013,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2013,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2013,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2013,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2013,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2013,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2013,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2013,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2013,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2013,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2013,1,WASHITA STATE BANK,1856,,
2013,2,WASHITA STATE BANK,1856,,
2013,3,WASHITA STATE BANK,1856,,
2013,4,WASHITA STATE BANK,1856,,
2013,1,FARMERS & MERCHANTS BANK,2040,,
2013,2,FARMERS & MERCHANTS BANK,2040,,
2013,3,FARMERS & MERCHANTS BANK,2040,,
2013,4,FARMERS & MERCHANTS BANK,2040,,
2013,1,LAMAR NATIONAL BANK,2161,,
2013,2,LAMAR NATIONAL BANK,2161,,
2013,3,LAMAR NATIONAL BANK,2161,,
2013,4,LAMAR NATIONAL BANK,2161,,
2013,1,ORITANI BANK,2376,,
2013,2,ORITANI BANK,2376,,
2013,3,ORITANI BANK,2376,,
2013,4,ORITANI BANK,2376,,
2013,1,STATE BANK OF MARIETTA,2554,,
2013,2,STATE BANK OF MARIETTA,2554,,
2013,3,STATE BANK OF MARIETTA,2554,,
2013,4,STATE BANK OF MARIETTA,2554,,
2013,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2013,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2013,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2013,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2013,1,GENOA COMMUNITY BANK,2750,,
2013,2,GENOA COMMUNITY BANK,2750,,
2013,3,GENOA COMMUNITY BANK,2750,,
2013,4,GENOA COMMUNITY BANK,2750,,
