year,quarter,name,rssdid,Lender_Name,Lender_Id
2006,1,BANK OF HANCOCK COUNTY,37,,
2006,2,BANK OF HANCOCK COUNTY,37,,
2006,3,BANK OF HANCOCK COUNTY,37,,
2006,4,BANK OF HANCOCK COUNTY,37,,
2006,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2006,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2006,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2006,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2006,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2006,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2006,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2006,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2006,1,BISON STATE BANK,354,,
2006,2,BISON STATE BANK,354,,
2006,3,BISON STATE BANK,354,,
2006,4,BISON STATE BANK,354,,
2006,1,PEOPLES BANK,439,,
2006,2,PEOPLES BANK,439,,
2006,3,PEOPLES BANK,439,,
2006,4,PEOPLES BANK,439,,
2006,1,LOWRY STATE BANK,457,,
2006,2,LOWRY STATE BANK,457,,
2006,3,LOWRY STATE BANK,457,,
2006,4,LOWRY STATE BANK,457,,
2006,1,BALLSTON SPA NATIONAL BANK,505,,
2006,2,BALLSTON SPA NATIONAL BANK,505,,
2006,3,BALLSTON SPA NATIONAL BANK,505,,
2006,4,BALLSTON SPA NATIONAL BANK,505,,
2006,1,PULASKI BANK AND TRUST COMPANY,1146,,
2006,2,PULASKI BANK AND TRUST COMPANY,1146,,
2006,3,PULASKI BANK AND TRUST COMPANY,1146,,
2006,4,PULASKI BANK AND TRUST COMPANY,1146,,
2006,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2006,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2006,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2006,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2006,1,BANK OF GRANDIN,1351,,
2006,2,BANK OF GRANDIN,1351,,
2006,3,BANK OF GRANDIN,1351,,
2006,4,BANK OF GRANDIN,1351,,
2006,1,HILLTOP NATIONAL BANK,1454,,
2006,2,HILLTOP NATIONAL BANK,1454,,
2006,3,HILLTOP NATIONAL BANK,1454,,
2006,4,HILLTOP NATIONAL BANK,1454,,
2006,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2006,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2006,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2006,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2006,1,SEA ISLAND BANK,1632,,
2006,2,SEA ISLAND BANK,1632,,
2006,3,SEA ISLAND BANK,1632,,
2006,4,SEA ISLAND BANK,1632,,
2006,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2006,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2006,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2006,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2006,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2006,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2006,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2006,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2006,1,WASHITA STATE BANK,1856,,
2006,2,WASHITA STATE BANK,1856,,
2006,3,WASHITA STATE BANK,1856,,
2006,4,WASHITA STATE BANK,1856,,
2006,1,FARMERS & MERCHANTS BANK,2040,,
2006,2,FARMERS & MERCHANTS BANK,2040,,
2006,3,FARMERS & MERCHANTS BANK,2040,,
2006,4,FARMERS & MERCHANTS BANK,2040,,
2006,1,LAMAR NATIONAL BANK,2161,,
2006,2,LAMAR NATIONAL BANK,2161,,
2006,3,LAMAR NATIONAL BANK,2161,,
2006,4,LAMAR NATIONAL BANK,2161,,
2006,1,ORITANI SAVINGS BANK,2376,,
2006,2,ORITANI SAVINGS BANK,2376,,
2006,3,ORITANI SAVINGS BANK,2376,,
2006,4,ORITANI SAVINGS BANK,2376,,
2006,1,THUNDER BANK,2451,,
2006,2,THUNDER BANK,2451,,
2006,3,THUNDER BANK,2451,,
2006,4,THUNDER BANK,2451,,
2006,1,STATE BANK OF MARIETTA,2554,,
2006,2,STATE BANK OF MARIETTA,2554,,
2006,3,STATE BANK OF MARIETTA,2554,,
2006,4,STATE BANK OF MARIETTA,2554,,
2006,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2006,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2006,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2006,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2006,1,GENOA NATIONAL BANK,2750,,
2006,2,GENOA NATIONAL BANK,2750,,
2006,3,GENOA NATIONAL BANK,2750,,
2006,4,GENOA NATIONAL BANK,2750,,
2006,1,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2006,2,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2006,3,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2006,4,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2006,1,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2006,2,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2006,3,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2006,4,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2006,1,FARMERS BANK OF GREEN CITY,3458,,
2006,2,FARMERS BANK OF GREEN CITY,3458,,
2006,3,FARMERS BANK OF GREEN CITY,3458,,
2006,4,FARMERS BANK OF GREEN CITY,3458,,
2006,1,INTERCHANGE BANK,3506,,
2006,2,INTERCHANGE BANK,3506,,
2006,3,INTERCHANGE BANK,3506,,
2006,4,INTERCHANGE BANK,3506,,
2006,1,"BANK OF CLARENDON, THE",3720,,
2006,2,"BANK OF CLARENDON, THE",3720,,
2006,3,"BANK OF CLARENDON, THE",3720,,
2006,4,"BANK OF CLARENDON, THE",3720,,
2006,1,FIRST CAPITAL BANK,3953,,
2006,2,FIRST CAPITAL BANK,3953,,
2006,3,FIRST CAPITAL BANK,3953,,
2006,4,FIRST CAPITAL BANK,3953,,
2006,1,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2006,2,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2006,3,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2006,4,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2006,1,INDEPENDENT BANK,4147,,
2006,2,INDEPENDENT BANK,4147,,
2006,3,INDEPENDENT BANK,4147,Independent Bank (TIB),32226
2006,1,KANZA BANK,4156,,
2006,2,KANZA BANK,4156,,
2006,3,KANZA BANK,4156,,
2006,4,KANZA BANK,4156,,
2006,1,FARMERS AND MERCHANTS BANK,4231,,
2006,2,FARMERS AND MERCHANTS BANK,4231,,
2006,3,FARMERS AND MERCHANTS BANK,4231,,
2006,4,FARMERS AND MERCHANTS BANK,4231,,
2006,1,FIRST NATIONAL BANK,4437,,
2006,2,FIRST NATIONAL BANK,4437,,
2006,3,FIRST NATIONAL BANK,4437,,
2006,4,FIRST NATIONAL BANK,4437,,
2006,1,AUSTIN BANK OF CHICAGO,4839,,
2006,2,AUSTIN BANK OF CHICAGO,4839,,
2006,3,AUSTIN BANK OF CHICAGO,4839,,
2006,4,AUSTIN BANK OF CHICAGO,4839,,
2006,1,STONEHAM SAVINGS BANK,5005,,
2006,2,STONEHAM SAVINGS BANK,5005,,
2006,3,STONEHAM SAVINGS BANK,5005,,
2006,4,STONEHAM SAVINGS BANK,5005,,
2006,1,COMMERCIAL STATE BANK OF BONNER SPRINGS,5050,,
2006,1,FIRST CREDIT BANK,5069,,
2006,2,FIRST CREDIT BANK,5069,,
2006,3,FIRST CREDIT BANK,5069,,
2006,4,FIRST CREDIT BANK,5069,,
2006,1,FIRST STATE BANK OF BLAKELY,5135,,
2006,2,FIRST STATE BANK OF BLAKELY,5135,,
2006,3,FIRST STATE BANK OF BLAKELY,5135,,
2006,4,FIRST STATE BANK OF BLAKELY,5135,,
2006,1,ADAMS COUNTY NATIONAL BANK,5210,,
2006,2,ADAMS COUNTY NATIONAL BANK,5210,,
2006,3,ADAMS COUNTY NATIONAL BANK,5210,,
2006,4,ADAMS COUNTY NATIONAL BANK,5210,,
2006,1,CLOVER LEAF BANK,5274,,
2006,2,CLOVER LEAF BANK,5274,,
2006,1,HYDE PARK BANK & TRUST COMPANY,5331,,
2006,2,HYDE PARK BANK & TRUST COMPANY,5331,,
2006,3,HYDE PARK BANK & TRUST COMPANY,5331,,
2006,4,HYDE PARK BANK & TRUST COMPANY,5331,,
2006,1,BANK OF AGRICULTURE AND COMMERCE,5461,,
2006,2,BANK OF AGRICULTURE AND COMMERCE,5461,,
2006,3,BANK OF AGRICULTURE AND COMMERCE,5461,,
