year,quarter,name,rssdid,Lender_Name,Lender_Id
2012,1,BANK OF HANCOCK COUNTY,37,,
2012,2,BANK OF HANCOCK COUNTY,37,,
2012,3,BANK OF HANCOCK COUNTY,37,,
2012,4,BANK OF HANCOCK COUNTY,37,,
2012,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2012,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2012,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2012,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2012,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2012,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2012,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2012,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2012,1,BISON STATE BANK,354,,
2012,2,BISON STATE BANK,354,,
2012,3,BISON STATE BANK,354,,
2012,4,BISON STATE BANK,354,,
2012,1,LOWRY STATE BANK,457,,
2012,2,LOWRY STATE BANK,457,,
2012,3,LOWRY STATE BANK,457,,
2012,4,LOWRY STATE BANK,457,,
2012,1,BALLSTON SPA NATIONAL BANK,505,,
2012,2,BALLSTON SPA NATIONAL BANK,505,,
2012,3,BALLSTON SPA NATIONAL BANK,505,,
2012,4,BALLSTON SPA NATIONAL BANK,505,,
2012,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2012,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2012,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2012,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2012,1,BANK OF GRANDIN,1351,,
2012,2,BANK OF GRANDIN,1351,,
2012,3,BANK OF GRANDIN,1351,,
2012,4,BANK OF GRANDIN,1351,,
2012,1,HILLTOP NATIONAL BANK,1454,,
2012,2,HILLTOP NATIONAL BANK,1454,,
2012,3,HILLTOP NATIONAL BANK,1454,,
2012,4,HILLTOP NATIONAL BANK,1454,,
2012,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2012,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2012,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2012,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2012,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2012,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2012,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2012,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2012,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2012,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2012,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2012,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2012,1,WASHITA STATE BANK,1856,,
2012,2,WASHITA STATE BANK,1856,,
2012,3,WASHITA STATE BANK,1856,,
2012,4,WASHITA STATE BANK,1856,,
2012,1,FARMERS & MERCHANTS BANK,2040,,
2012,2,FARMERS & MERCHANTS BANK,2040,,
2012,3,FARMERS & MERCHANTS BANK,2040,,
2012,4,FARMERS & MERCHANTS BANK,2040,,
2012,1,LAMAR NATIONAL BANK,2161,,
2012,2,LAMAR NATIONAL BANK,2161,,
2012,3,LAMAR NATIONAL BANK,2161,,
2012,4,LAMAR NATIONAL BANK,2161,,
2012,1,ORITANI BANK,2376,,
2012,2,ORITANI BANK,2376,,
2012,3,ORITANI BANK,2376,,
2012,4,ORITANI BANK,2376,,
2012,1,STATE BANK OF MARIETTA,2554,,
2012,2,STATE BANK OF MARIETTA,2554,,
2012,3,STATE BANK OF MARIETTA,2554,,
2012,4,STATE BANK OF MARIETTA,2554,,
2012,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2012,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2012,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2012,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2012,1,GENOA COMMUNITY BANK,2750,,
2012,2,GENOA COMMUNITY BANK,2750,,
2012,3,GENOA COMMUNITY BANK,2750,,
2012,4,GENOA COMMUNITY BANK,2750,,
2012,1,OCEAN CITY HOME BANK,3177,,
2012,2,OCEAN CITY HOME BANK,3177,,
2012,3,OCEAN CITY HOME BANK,3177,,
2012,4,OCEAN CITY HOME BANK,3177,,
2012,1,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2012,2,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2012,3,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2012,4,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2012,1,FARMERS BANK OF GREEN CITY,3458,,
2012,2,FARMERS BANK OF GREEN CITY,3458,,
2012,3,FARMERS BANK OF GREEN CITY,3458,,
2012,4,FARMERS BANK OF GREEN CITY,3458,,
2012,1,"BANK OF CLARENDON, THE",3720,,
2012,2,"BANK OF CLARENDON, THE",3720,,
2012,3,"BANK OF CLARENDON, THE",3720,,
2012,4,"BANK OF CLARENDON, THE",3720,,
2012,1,FIRST CAPITAL BANK,3953,,
2012,1,MIDCOUNTRY BANK,3971,,
2012,2,MIDCOUNTRY BANK,3971,,
2012,3,MIDCOUNTRY BANK,3971,,
2012,4,MIDCOUNTRY BANK,3971,,
2012,1,KANZA BANK,4156,,
2012,2,KANZA BANK,4156,,
2012,3,KANZA BANK,4156,,
2012,4,KANZA BANK,4156,,
2012,1,FARMERS AND MERCHANTS BANK,4231,,
2012,2,FARMERS AND MERCHANTS BANK,4231,,
2012,3,FARMERS AND MERCHANTS BANK,4231,,
2012,4,FARMERS AND MERCHANTS BANK,4231,,
2012,1,FIRST NATIONAL BANK,4437,,
2012,2,FIRST NATIONAL BANK,4437,,
2012,3,FIRST NATIONAL BANK,4437,,
2012,4,FIRST NATIONAL BANK,4437,,
2012,1,AUSTIN BANK OF CHICAGO,4839,,
2012,2,ABC BANK,4839,,
2012,3,ABC BANK,4839,,
2012,4,AUSTIN BANK OF CHICAGO,4839,,
2012,1,STONEHAM SAVINGS BANK,5005,,
2012,2,STONEHAM SAVINGS BANK,5005,,
2012,3,STONEHAM SAVINGS BANK,5005,,
2012,4,STONEHAM SAVINGS BANK,5005,,
2012,1,FIRST CREDIT BANK,5069,,
2012,2,FIRST CREDIT BANK,5069,,
2012,3,FIRST CREDIT BANK,5069,,
2012,4,FIRST CREDIT BANK,5069,,
2012,1,FIRST STATE BANK OF BLAKELY,5135,,
2012,2,FIRST STATE BANK OF BLAKELY,5135,,
2012,3,FIRST STATE BANK OF BLAKELY,5135,,
2012,4,FIRST STATE BANK OF BLAKELY,5135,,
2012,1,ACNB BANK,5210,,
2012,2,ACNB BANK,5210,,
2012,3,ACNB BANK,5210,,
2012,4,ACNB BANK,5210,,
2012,1,HYDE PARK BANK & TRUST COMPANY,5331,,
2012,2,HYDE PARK BANK & TRUST COMPANY,5331,,
2012,3,HYDE PARK BANK & TRUST COMPANY,5331,,
2012,1,BANK OF AGRICULTURE AND COMMERCE,5461,,
2012,2,BANK OF AGRICULTURE AND COMMERCE,5461,,
2012,3,BANK OF AGRICULTURE AND COMMERCE,5461,,
2012,4,BANK OF AGRICULTURE AND COMMERCE,5461,,
2012,1,KEARNY COUNTY BANK,5751,,
