year,quarter,name,rssdid,Lender_Name,Lender_Id
2015,1,BANK OF HANCOCK COUNTY,37,,
2015,2,BANK OF HANCOCK COUNTY,37,,
2015,3,BANK OF HANCOCK COUNTY,37,,
2015,4,BANK OF HANCOCK COUNTY,37,,
2015,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2015,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2015,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2015,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2015,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2015,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2015,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2015,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2015,1,BISON STATE BANK,354,,
2015,2,BISON STATE BANK,354,,
2015,3,BISON STATE BANK,354,,
2015,4,BISON STATE BANK,354,,
2015,1,LOWRY STATE BANK,457,,
2015,2,LOWRY STATE BANK,457,,
2015,3,LOWRY STATE BANK,457,,
2015,4,LOWRY STATE BANK,457,,
2015,1,BALLSTON SPA NATIONAL BANK,505,,
2015,2,BALLSTON SPA NATIONAL BANK,505,,
2015,3,BALLSTON SPA NATIONAL BANK,505,,
2015,4,BALLSTON SPA NATIONAL BANK,505,,
2015,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2015,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2015,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2015,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2015,1,BANK OF GRANDIN,1351,,
2015,2,BANK OF GRANDIN,1351,,
2015,3,BANK OF GRANDIN,1351,,
2015,4,BANK OF GRANDIN,1351,,
2015,1,HILLTOP NATIONAL BANK,1454,,
2015,2,HILLTOP NATIONAL BANK,1454,,
2015,3,HILLTOP NATIONAL BANK,1454,,
2015,4,HILLTOP NATIONAL BANK,1454,,
2015,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2015,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2015,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2015,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2015,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2015,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2015,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2015,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2015,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2015,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2015,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2015,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2015,1,WASHITA STATE BANK,1856,,
2015,2,WASHITA STATE BANK,1856,,
2015,3,WASHITA STATE BANK,1856,,
2015,4,WASHITA STATE BANK,1856,,
2015,1,FARMERS & MERCHANTS BANK,2040,,
2015,2,FARMERS & MERCHANTS BANK,2040,,
2015,3,FARMERS & MERCHANTS BANK,2040,,
2015,4,FARMERS & MERCHANTS BANK,2040,,
2015,1,LAMAR NATIONAL BANK,2161,,
2015,2,LAMAR NATIONAL BANK,2161,,
2015,3,LAMAR NATIONAL BANK,2161,,
2015,4,LAMAR NATIONAL BANK,2161,,
2015,1,ORITANI BANK,2376,,
2015,2,ORITANI BANK,2376,,
2015,3,ORITANI BANK,2376,,
2015,4,ORITANI BANK,2376,,
2015,1,STATE BANK OF MARIETTA,2554,,
2015,2,STATE BANK OF MARIETTA,2554,,
2015,3,STATE BANK OF MARIETTA,2554,,
2015,4,STATE BANK OF MARIETTA,2554,,
2015,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2015,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2015,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2015,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2015,1,GENOA COMMUNITY BANK,2750,,
2015,2,GENOA COMMUNITY BANK,2750,,
2015,3,GENOA COMMUNITY BANK,2750,,
2015,4,GENOA COMMUNITY BANK,2750,,
2015,1,OCEAN CITY HOME BANK,3177,,
2015,2,OCEAN CITY HOME BANK,3177,,
2015,3,OCEAN CITY HOME BANK,3177,,
2015,4,OCEAN CITY HOME BANK,3177,,
2015,1,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2015,2,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2015,3,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2015,4,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2015,1,FARMERS BANK OF GREEN CITY,3458,,
2015,2,FARMERS BANK OF GREEN CITY,3458,,
2015,3,FARMERS BANK OF GREEN CITY,3458,,
2015,4,FARMERS BANK OF GREEN CITY,3458,,
2015,1,"BANK OF CLARENDON, THE",3720,,
2015,2,"BANK OF CLARENDON, THE",3720,,
2015,3,"BANK OF CLARENDON, THE",3720,,
2015,4,"BANK OF CLARENDON, THE",3720,,
2015,1,MIDCOUNTRY BANK,3971,,
2015,2,MIDCOUNTRY BANK,3971,,
