year,quarter,name,rssdid,Lender_Name,Lender_Id
2008,1,BANK OF HANCOCK COUNTY,37,,
2008,2,BANK OF HANCOCK COUNTY,37,,
2008,3,BANK OF HANCOCK COUNTY,37,,
2008,4,BANK OF HANCOCK COUNTY,37,,
2008,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2008,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2008,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2008,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2008,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2008,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2008,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2008,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2008,1,BISON STATE BANK,354,,
2008,2,BISON STATE BANK,354,,
2008,3,BISON STATE BANK,354,,
2008,4,BISON STATE BANK,354,,
2008,1,LOWRY STATE BANK,457,,
2008,2,LOWRY STATE BANK,457,,
2008,3,LOWRY STATE BANK,457,,
2008,4,LOWRY STATE BANK,457,,
2008,1,BALLSTON SPA NATIONAL BANK,505,,
2008,2,BALLSTON SPA NATIONAL BANK,505,,
2008,3,BALLSTON SPA NATIONAL BANK,505,,
2008,4,BALLSTON SPA NATIONAL BANK,505,,
2008,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2008,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2008,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2008,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2008,1,BANK OF GRANDIN,1351,,
2008,2,BANK OF GRANDIN,1351,,
2008,3,BANK OF GRANDIN,1351,,
2008,4,BANK OF GRANDIN,1351,,
2008,1,HILLTOP NATIONAL BANK,1454,,
2008,2,HILLTOP NATIONAL BANK,1454,,
2008,3,HILLTOP NATIONAL BANK,1454,,
2008,4,HILLTOP NATIONAL BANK,1454,,
2008,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2008,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2008,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2008,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2008,1,SEA ISLAND BANK,1632,,
2008,2,SEA ISLAND BANK,1632,,
2008,3,SEA ISLAND BANK,1632,,
2008,4,SEA ISLAND BANK,1632,,
2008,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2008,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2008,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2008,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2008,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2008,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2008,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2008,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2008,1,WASHITA STATE BANK,1856,,
2008,2,WASHITA STATE BANK,1856,,
2008,3,WASHITA STATE BANK,1856,,
2008,4,WASHITA STATE BANK,1856,,
2008,1,FARMERS & MERCHANTS BANK,2040,,
2008,2,FARMERS & MERCHANTS BANK,2040,,
2008,3,FARMERS & MERCHANTS BANK,2040,,
2008,4,FARMERS & MERCHANTS BANK,2040,,
2008,1,LAMAR NATIONAL BANK,2161,,
2008,2,LAMAR NATIONAL BANK,2161,,
2008,3,LAMAR NATIONAL BANK,2161,,
2008,4,LAMAR NATIONAL BANK,2161,,
2008,1,ORITANI SAVINGS BANK,2376,,
2008,2,ORITANI SAVINGS BANK,2376,,
2008,3,ORITANI BANK,2376,,
2008,4,ORITANI BANK,2376,,
2008,1,THUNDER BANK,2451,,
2008,2,THUNDER BANK,2451,,
2008,3,THUNDER BANK,2451,,
2008,4,THUNDER BANK,2451,,
2008,1,STATE BANK OF MARIETTA,2554,,
2008,2,STATE BANK OF MARIETTA,2554,,
2008,3,STATE BANK OF MARIETTA,2554,,
2008,4,STATE BANK OF MARIETTA,2554,,
2008,1,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2008,2,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2008,3,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2008,4,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",2732,,
2008,1,GENOA NATIONAL BANK,2750,,
2008,2,GENOA NATIONAL BANK,2750,,
2008,3,GENOA NATIONAL BANK,2750,,
2008,4,GENOA NATIONAL BANK,2750,,
2008,1,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2008,2,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2008,3,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2008,4,SECURITY BANK AND TRUST COMPANY OF ALBANY,2938,,
2008,1,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2008,2,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2008,3,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2008,4,"FIRST NATIONAL BANK OF GORDON, THE",3252,,
2008,1,FARMERS BANK OF GREEN CITY,3458,,
2008,2,FARMERS BANK OF GREEN CITY,3458,,
2008,3,FARMERS BANK OF GREEN CITY,3458,,
2008,4,FARMERS BANK OF GREEN CITY,3458,,
2008,1,"BANK OF CLARENDON, THE",3720,,
2008,2,"BANK OF CLARENDON, THE",3720,,
2008,3,"BANK OF CLARENDON, THE",3720,,
2008,4,"BANK OF CLARENDON, THE",3720,,
2008,1,FIRST CAPITAL BANK,3953,,
2008,2,FIRST CAPITAL BANK,3953,,
2008,3,FIRST CAPITAL BANK,3953,,
2008,4,FIRST CAPITAL BANK,3953,,
2008,1,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2008,2,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2008,3,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2008,4,FIRST NATIONAL BANK OF LAFOLLETTE,4138,,
2008,1,KANZA BANK,4156,,
2008,2,KANZA BANK,4156,,
2008,3,KANZA BANK,4156,,
2008,4,KANZA BANK,4156,,
2008,1,FARMERS AND MERCHANTS BANK,4231,,
2008,2,FARMERS AND MERCHANTS BANK,4231,,
2008,3,FARMERS AND MERCHANTS BANK,4231,,
2008,4,FARMERS AND MERCHANTS BANK,4231,,
2008,1,FIRST NATIONAL BANK,4437,,
2008,2,FIRST NATIONAL BANK,4437,,
2008,3,FIRST NATIONAL BANK,4437,,
2008,4,FIRST NATIONAL BANK,4437,,
2008,1,AUSTIN BANK OF CHICAGO,4839,,
2008,2,AUSTIN BANK OF CHICAGO,4839,,
2008,3,AUSTIN BANK OF CHICAGO,4839,,
2008,4,AUSTIN BANK OF CHICAGO,4839,,
2008,1,STONEHAM SAVINGS BANK,5005,,
2008,2,STONEHAM SAVINGS BANK,5005,,
2008,3,STONEHAM SAVINGS BANK,5005,,
2008,4,STONEHAM SAVINGS BANK,5005,,
2008,1,FIRST CREDIT BANK,5069,,
2008,2,FIRST CREDIT BANK,5069,,
2008,3,FIRST CREDIT BANK,5069,,
2008,4,FIRST CREDIT BANK,5069,,
2008,1,FIRST STATE BANK OF BLAKELY,5135,,
2008,2,FIRST STATE BANK OF BLAKELY,5135,,
2008,3,FIRST STATE BANK OF BLAKELY,5135,,
2008,4,FIRST STATE BANK OF BLAKELY,5135,,
2008,1,ADAMS COUNTY NATIONAL BANK,5210,,
2008,2,ADAMS COUNTY NATIONAL BANK,5210,,
2008,3,ADAMS COUNTY NATIONAL BANK,5210,,
2008,4,ADAMS COUNTY NATIONAL BANK,5210,,
2008,1,HYDE PARK BANK & TRUST COMPANY,5331,,
2008,2,HYDE PARK BANK & TRUST COMPANY,5331,,
2008,3,HYDE PARK BANK & TRUST COMPANY,5331,Hyde Park Bank,74125
2008,4,HYDE PARK BANK & TRUST COMPANY,5331,,
2008,1,BANK OF AGRICULTURE AND COMMERCE,5461,,
2008,2,BANK OF AGRICULTURE AND COMMERCE,5461,,
2008,3,BANK OF AGRICULTURE AND COMMERCE,5461,,
2008,4,BANK OF AGRICULTURE AND COMMERCE,5461,,
2008,1,KEARNY COUNTY BANK,5751,,
2008,2,KEARNY COUNTY BANK,5751,,
2008,3,KEARNY COUNTY BANK,5751,,
2008,4,KEARNY COUNTY BANK,5751,,
2008,1,ALMA EXCHANGE BANK & TRUST,6039,,
2008,2,ALMA EXCHANGE BANK & TRUST,6039,,
2008,3,ALMA EXCHANGE BANK & TRUST,6039,,
2008,4,ALMA EXCHANGE BANK & TRUST,6039,,
2008,1,TALLAHATCHIE COUNTY BANK,6141,,
2008,2,TALLAHATCHIE COUNTY BANK,6141,,
2008,3,TALLAHATCHIE COUNTY BANK,6141,,
2008,4,TALLAHATCHIE COUNTY BANK,6141,,
2008,1,ANDERSON BROTHERS BANK,6329,,
2008,2,ANDERSON BROTHERS BANK,6329,,
2008,3,ANDERSON BROTHERS BANK,6329,,
2008,4,ANDERSON BROTHERS BANK,6329,,
2008,1,FIRST INDEPENDENT BANK,6972,First Independent Bank,58759
2008,1,FIRST INDEPENDENT BANK,6972,Independent Bank (TIB),32226
2008,2,FIRST INDEPENDENT BANK,6972,,
2008,3,FIRST INDEPENDENT BANK,6972,,
2008,4,FIRST INDEPENDENT BANK,6972,,
2008,1,BESSEMER TRUST COMPANY,7009,,
2008,2,BESSEMER TRUST COMPANY,7009,,
2008,3,BESSEMER TRUST COMPANY,7009,,
2008,4,BESSEMER TRUST COMPANY,7009,,
2008,1,"PEOPLES BANK, THE",7045,,
2008,2,"PEOPLES BANK, THE",7045,,
2008,3,"PEOPLES BANK, THE",7045,,
2008,4,"PEOPLES BANK, THE",7045,,
2008,1,STATE BANK OF BLUE RAPIDS,7157,,
2008,2,STATE BANK OF BLUE RAPIDS,7157,,
2008,3,STATE BANK OF BLUE RAPIDS,7157,,
2008,4,STATE BANK OF BLUE RAPIDS,7157,,
2008,1,BANK OF HARTINGTON,7456,,
2008,2,BANK OF HARTINGTON,7456,,
2008,3,BANK OF HARTINGTON,7456,,
2008,4,BANK OF HARTINGTON,7456,,
2008,1,"FOUR COUNTY BANK, THE",7634,,
2008,2,"FOUR COUNTY BANK, THE",7634,,
2008,3,"FOUR COUNTY BANK, THE",7634,,
2008,4,"FOUR COUNTY BANK, THE",7634,,
2008,1,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2008,2,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2008,3,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2008,4,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,8033,,
2008,1,"PERRYTON NATIONAL BANK, THE",8462,,
2008,2,"PERRYTON NATIONAL BANK, THE",8462,,
2008,3,"PERRYTON NATIONAL BANK, THE",8462,,
2008,4,"PERRYTON NATIONAL BANK, THE",8462,,
2008,1,"PLEASANTS COUNTY BANK, THE",8631,,
2008,2,"PLEASANTS COUNTY BANK, THE",8631,,
2008,3,"PLEASANTS COUNTY BANK, THE",8631,,
2008,4,"PLEASANTS COUNTY BANK, THE",8631,,
2008,1,FIDELITY BANK,9357,,
2008,2,FIDELITY BANK,9357,,
2008,3,FIDELITY BANK,9357,,
2008,4,FIDELITY BANK,9357,,
2008,1,ADAMS COUNTY BANK,9553,,
2008,2,ADAMS COUNTY BANK,9553,,
2008,3,ADAMS COUNTY BANK,9553,,
2008,4,ADAMS COUNTY BANK,9553,,
2008,1,AMBOY BANK,9807,,
2008,2,AMBOY BANK,9807,,
2008,3,AMBOY BANK,9807,,
2008,4,AMBOY BANK,9807,,
2008,1,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",9955,,
2008,2,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",9955,,
2008,3,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",9955,,
2008,4,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",9955,,
2008,1,FIRST NATIONAL BANK & TRUST CO. IN LARNED,10157,,
2008,2,FIRST NATIONAL BANK & TRUST CO. IN LARNED,10157,,
2008,3,FIRST NATIONAL BANK & TRUST CO. IN LARNED,10157,,
2008,4,FIRST NATIONAL BANK & TRUST CO. IN LARNED,10157,,
2008,1,"BANK OF ELK RIVER, THE",10250,,
2008,2,"BANK OF ELK RIVER, THE",10250,,
2008,3,"BANK OF ELK RIVER, THE",10250,,
2008,4,"BANK OF ELK RIVER, THE",10250,,
2008,1,FIRST STATE BANK,10849,,
2008,2,FIRST STATE BANK,10849,,
2008,3,FIRST STATE BANK,10849,,
2008,4,FIRST STATE BANK,10849,,
2008,1,PLATTE VALLEY STATE BANK AND TRUST COMPANY,10858,,
2008,2,PLATTE VALLEY STATE BANK AND TRUST COMPANY,10858,,
2008,3,PLATTE VALLEY STATE BANK AND TRUST COMPANY,10858,,
2008,4,PLATTE VALLEY STATE BANK AND TRUST COMPANY,10858,,
2008,1,LAKE-OSCEOLA STATE BANK,11145,,
2008,2,LAKE-OSCEOLA STATE BANK,11145,,
2008,3,LAKE-OSCEOLA STATE BANK,11145,,
2008,4,LAKE-OSCEOLA STATE BANK,11145,,
2008,1,FIRST NATIONAL BANK OF CLARKSDALE,11640,,
2008,2,FIRST NATIONAL BANK OF CLARKSDALE,11640,,
2008,3,FIRST NATIONAL BANK OF CLARKSDALE,11640,,
2008,4,FIRST NATIONAL BANK OF CLARKSDALE,11640,,
2008,1,"FARMERS BANK, THE",11837,,
2008,2,"FARMERS BANK, THE",11837,,
2008,3,"FARMERS BANK, THE",11837,,
2008,4,"FARMERS BANK, THE",11837,,
2008,1,FIRST NATIONAL BANK SOUTH,12030,,
2008,2,FIRST NATIONAL BANK SOUTH,12030,,
2008,3,FIRST NATIONAL BANK SOUTH,12030,,
