year,quarter,name,rssdid,Lender_Name,Lender_Id
2007,1,BANK OF HANCOCK COUNTY,37,,
2007,2,BANK OF HANCOCK COUNTY,37,,
2007,3,BANK OF HANCOCK COUNTY,37,,
2007,4,BANK OF HANCOCK COUNTY,37,,
2007,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2007,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2007,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2007,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2007,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2007,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2007,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2007,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2007,1,BISON STATE BANK,354,,
2007,2,BISON STATE BANK,354,,
2007,3,BISON STATE BANK,354,,
2007,4,BISON STATE BANK,354,,
2007,1,PEOPLES BANK,439,,
2007,2,PEOPLES BANK,439,,
2007,1,LOWRY STATE BANK,457,,
2007,2,LOWRY STATE BANK,457,,
2007,3,LOWRY STATE BANK,457,,
2007,4,LOWRY STATE BANK,457,,
2007,1,BALLSTON SPA NATIONAL BANK,505,,
2007,2,BALLSTON SPA NATIONAL BANK,505,,
2007,3,BALLSTON SPA NATIONAL BANK,505,,
2007,4,BALLSTON SPA NATIONAL BANK,505,,
2007,1,PULASKI BANK AND TRUST COMPANY,1146,,
2007,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2007,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2007,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2007,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2007,1,BANK OF GRANDIN,1351,,
2007,2,BANK OF GRANDIN,1351,,
2007,3,BANK OF GRANDIN,1351,,
2007,4,BANK OF GRANDIN,1351,,
2007,1,HILLTOP NATIONAL BANK,1454,,
2007,2,HILLTOP NATIONAL BANK,1454,,
2007,3,HILLTOP NATIONAL BANK,1454,,
2007,4,HILLTOP NATIONAL BANK,1454,,
2007,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2007,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2007,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2007,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2007,1,SEA ISLAND BANK,1632,,
2007,2,SEA ISLAND BANK,1632,,
2007,3,SEA ISLAND BANK,1632,,
2007,4,SEA ISLAND BANK,1632,,
