rssdid,name,address,city,state,zipcode,year,quarter
1898419.0,LAKES STATE BANK,30886 SECOND STREET,PEQUOT LAKES,MN,56472,2008.0,4.0
1899902.0,FIRST INTERNATIONAL BANK,"1912 AVENUE K, SUITE 100",PLANO,TX,75074,2008.0,1.0
1899902.0,FIRST INTERNATIONAL BANK,"1912 AVENUE K, SUITE 100",PLANO,TX,75074,2008.0,2.0
1899902.0,FIRST INTERNATIONAL BANK,"1912 AVENUE K, SUITE 100",PLANO,TX,75074,2008.0,3.0
1899902.0,FIRST INTERNATIONAL BANK,"1912 AVENUE K, SUITE 100",PLANO,TX,75074,2008.0,4.0
1900675.0,CITIZENS BANK OF PAGOSA SPRINGS,703 SAN JUAN STREET,PAGOSA SPRINGS,CO,81147,2008.0,1.0
1900675.0,CITIZENS BANK OF PAGOSA SPRINGS,703 SAN JUAN STREET,PAGOSA SPRINGS,CO,81147,2008.0,2.0
1900675.0,CITIZENS BANK OF PAGOSA SPRINGS,703 SAN JUAN STREET,PAGOSA SPRINGS,CO,81147,2008.0,3.0
1900675.0,CITIZENS BANK OF PAGOSA SPRINGS,703 SAN JUAN STREET,PAGOSA SPRINGS,CO,81147,2008.0,4.0
1904020.0,NORTHERN TRUST COMPANY OF NEW YORK,"65 EAST 55TH STREET, SUITE 2400",NEW YORK,NY,10022,2008.0,1.0
1904020.0,NORTHERN TRUST COMPANY OF NEW YORK,"65 EAST 55TH STREET, SUITE 2400",NEW YORK,NY,10022,2008.0,2.0
1904020.0,NORTHERN TRUST COMPANY OF NEW YORK,"65 EAST 55TH STREET, SUITE 2400",NEW YORK,NY,10022,2008.0,3.0
1904020.0,NORTHERN TRUST COMPANY OF NEW YORK,"65 EAST 55TH STREET, SUITE 2400",NEW YORK,NY,10022,2008.0,4.0
1906172.0,"AMCORE INVESTMENT GROUP, N.A.",501 SEVENTH STREET,ROCKFORD,IL,61104,2008.0,1.0
1906172.0,"AMCORE INVESTMENT GROUP, N.A.",501 SEVENTH STREET,ROCKFORD,IL,61104,2008.0,2.0
1906172.0,"AMCORE INVESTMENT GROUP, N.A.",501 SEVENTH STREET,ROCKFORD,IL,61104,2008.0,3.0
1907599.0,WOODTRUST ASSET MANAGEMENT NATIONAL ASSOCIATION,181 SECOND STREET SOUTH,WISCONSIN RAPIDS,WI,54494,2008.0,1.0
1907599.0,WOODTRUST ASSET MANAGEMENT NATIONAL ASSOCIATION,181 SECOND STREET SOUTH,WISCONSIN RAPIDS,WI,54494,2008.0,2.0
1907599.0,WOODTRUST ASSET MANAGEMENT NATIONAL ASSOCIATION,181 SECOND STREET SOUTH,WISCONSIN RAPIDS,WI,54494,2008.0,3.0
1907599.0,WOODTRUST ASSET MANAGEMENT NATIONAL ASSOCIATION,181 SECOND STREET SOUTH,WISCONSIN RAPIDS,WI,54494,2008.0,4.0
1908082.0,BANK OF NORTH CAROLINA,831 JULIAN AVENUE,THOMASVILLE,NC,27360,2008.0,1.0
1908082.0,BANK OF NORTH CAROLINA,831 JULIAN AVENUE,THOMASVILLE,NC,27360,2008.0,2.0
1908082.0,BANK OF NORTH CAROLINA,831 JULIAN AVENUE,THOMASVILLE,NC,27360,2008.0,3.0
1908082.0,BANK OF NORTH CAROLINA,831 JULIAN AVENUE,THOMASVILLE,NC,27360,2008.0,4.0
1914421.0,WESTERN COMMUNITY BANK,1376 NORTH STATE STREET,OREM,UT,84057,2008.0,1.0
1914421.0,WESTERN COMMUNITY BANK,1376 NORTH STATE STREET,OREM,UT,84057,2008.0,2.0
1914421.0,WESTERN COMMUNITY BANK,1376 NORTH STATE STREET,OREM,UT,84057,2008.0,3.0
1914421.0,WESTERN COMMUNITY BANK,1376 NORTH STATE STREET,OREM,UT,84057,2008.0,4.0
1916751.0,ADVANTA BANK CORP.,11850 SOUTH ELECTION ROAD,DRAPER,UT,84020,2008.0,1.0
1916751.0,ADVANTA BANK CORP.,11850 SOUTH ELECTION ROAD,DRAPER,UT,84020,2008.0,2.0
1916751.0,ADVANTA BANK CORP.,11850 SOUTH ELECTION ROAD,DRAPER,UT,84020,2008.0,3.0
1916751.0,ADVANTA BANK CORP.,11850 SOUTH ELECTION ROAD,DRAPER,UT,84020,2008.0,4.0
1917301.0,LAKE FOREST BANK & TRUST COMPANY,727 NORTH BANK LANE,LAKE FOREST,IL,60045,2008.0,1.0
1917301.0,LAKE FOREST BANK & TRUST COMPANY,727 NORTH BANK LANE,LAKE FOREST,IL,60045,2008.0,2.0
1917301.0,LAKE FOREST BANK & TRUST COMPANY,727 NORTH BANK LANE,LAKE FOREST,IL,60045,2008.0,3.0
1917301.0,LAKE FOREST BANK & TRUST COMPANY,727 NORTH BANK LANE,LAKE FOREST,IL,60045,2008.0,4.0
