rssdid,name,address,city,state,zipcode,year,quarter
37.0,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2019.0,1.0
37.0,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2019.0,2.0
37.0,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2019.0,3.0
37.0,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2019.0,4.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2019.0,1.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2019.0,2.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2019.0,3.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2019.0,4.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2019.0,1.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2019.0,2.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2019.0,3.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2019.0,4.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2019.0,1.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2019.0,2.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2019.0,3.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2019.0,4.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2019.0,1.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2019.0,2.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2019.0,3.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2019.0,4.0
505.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2019.0,1.0
