rssdid,name,address,city,state,zipcode,year,quarter
969956,ZAVALA COUNTY BANK,2300 NORTH US HIGHWAY 83,CRYSTAL CITY,TX,78839,2021,4
970055,FIRST BANK ELK RIVER,812 MAIN STREET NW,ELK RIVER,MN,55330,2021,1
970055,FIRST BANK ELK RIVER,812 MAIN STREET NW,ELK RIVER,MN,55330,2021,2
970055,FIRST BANK ELK RIVER,812 MAIN STREET NW,ELK RIVER,MN,55330,2021,3
970055,FIRST BANK ELK RIVER,812 MAIN STREET NW,ELK RIVER,MN,55330,2021,4
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",502 DENROCK AVE.,DALHART,TX,79022,2021,1
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",502 DENROCK AVE.,DALHART,TX,79022,2021,2
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",502 DENROCK AVE.,DALHART,TX,79022,2021,3
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",502 DENROCK AVE.,DALHART,TX,79022,2021,4
971379,"HERTFORD SAVINGS BANK, SSB",121 NORTH CHURCH STREET,HERTFORD,NC,27944,2021,1
971379,"HERTFORD SAVINGS BANK, SSB",121 NORTH CHURCH STREET,HERTFORD,NC,27944,2021,2
971379,"HERTFORD SAVINGS BANK, SSB",121 NORTH CHURCH STREET,HERTFORD,NC,27944,2021,3
971379,"HERTFORD SAVINGS BANK, SSB",121 NORTH CHURCH STREET,HERTFORD,NC,27944,2021,4
971959,AMERICAN BANK CENTER,220 1ST AVENUE WEST,DICKINSON,ND,58601,2021,1
971959,AMERICAN BANK CENTER,220 1ST AVENUE WEST,DICKINSON,ND,58601,2021,2
971959,AMERICAN BANK CENTER,220 1ST AVENUE WEST,DICKINSON,ND,58601,2021,3
971959,BRAVERA BANK,220 1ST AVENUE WEST,DICKINSON,ND,58601,2021,4
972143,WESTSIDE STATE BANK,401 FIRST STREET,WESTSIDE,IA,51467,2021,1
972143,WESTSIDE STATE BANK,401 FIRST STREET,WESTSIDE,IA,51467,2021,2
972143,WESTSIDE STATE BANK,401 FIRST STREET,WESTSIDE,IA,51467,2021,3
972143,WESTSIDE STATE BANK,401 FIRST STREET,WESTSIDE,IA,51467,2021,4
972406,BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY,40 COURT STR,BOSTON,MA,02108,2021,1
972406,BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY,40 COURT STR,BOSTON,MA,02108,2021,2
972406,BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY,40 COURT STR,BOSTON,MA,02108,2021,3
972406,BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY,40 COURT STR,BOSTON,MA,02108,2021,4
972648,PLANTERS BANK & TRUST COMPANY,212 CATCHINGS STREET,INDIANOLA,MS,38751,2021,1
972648,PLANTERS BANK & TRUST COMPANY,212 CATCHINGS STREET,INDIANOLA,MS,38751,2021,2
972648,PLANTERS BANK & TRUST COMPANY,212 CATCHINGS STREET,INDIANOLA,MS,38751,2021,3
972648,PLANTERS BANK & TRUST COMPANY,212 CATCHINGS STREET,INDIANOLA,MS,38751,2021,4
972732,FIRST NATIONAL BANK OF PULASKI,206 SOUTH FIRST STREET,PULASKI,TN,38478,2021,1
972732,FIRST NATIONAL BANK OF PULASKI,206 SOUTH FIRST STREET,PULASKI,TN,38478,2021,2
972732,FIRST NATIONAL BANK OF PULASKI,206 SOUTH FIRST STREET,PULASKI,TN,38478,2021,3
972732,FIRST NATIONAL BANK OF PULASKI,206 SOUTH FIRST STREET,PULASKI,TN,38478,2021,4
972750,CONWAY BANK,124 WEST SPRING AVENUE,CONWAY SPRINGS,KS,67031,2021,1
972750,CONWAY BANK,124 WEST SPRING AVENUE,CONWAY SPRINGS,KS,67031,2021,2
972750,CONWAY BANK,124 WEST SPRING AVENUE,CONWAY SPRINGS,KS,67031,2021,3
972750,CONWAY BANK,124 WEST SPRING AVENUE,CONWAY SPRINGS,KS,67031,2021,4
972769,GBC INTERNATIONAL BANK,"333 S. GRAND AVENUE, SUITE 3500",LOS ANGELES,CA,90071,2021,1
972769,GBC INTERNATIONAL BANK,"333 S. GRAND AVENUE, SUITE 3500",LOS ANGELES,CA,90071,2021,2
972769,GBC INTERNATIONAL BANK,"333 S. GRAND AVENUE, SUITE 3500",LOS ANGELES,CA,90071,2021,3
972769,GBC INTERNATIONAL BANK,"333 S. GRAND AVENUE, SUITE 3500",LOS ANGELES,CA,90071,2021,4
972862,PLAINS STATE BANK,19404 KENSWICK DRIVE,HUMBLE,TX,77338,2021,1
972862,PLAINS STATE BANK,19404 KENSWICK DRIVE,HUMBLE,TX,77338,2021,2
972862,PLAINS STATE BANK,19404 KENSWICK DRIVE,HUMBLE,TX,77338,2021,3
972862,PLAINS STATE BANK,19404 KENSWICK DRIVE,HUMBLE,TX,77338,2021,4
973252,SWEDISH-AMERICAN STATE BANK,324 LIBERTY STREET,COURTLAND,KS,66939,2021,1
973252,SWEDISH-AMERICAN STATE BANK,324 LIBERTY STREET,COURTLAND,KS,66939,2021,2
973252,SWEDISH-AMERICAN STATE BANK,324 LIBERTY STREET,COURTLAND,KS,66939,2021,3
973252,SWEDISH-AMERICAN STATE BANK,324 LIBERTY STREET,COURTLAND,KS,66939,2021,4
974558,FIRST NATIONAL BANK AND TRUST COMPANY OF BOTTINEAU,424 MAIN ST.,BOTTINEAU,ND,58318,2021,1
974558,FIRST NATIONAL BANK AND TRUST COMPANY OF BOTTINEAU,424 MAIN ST.,BOTTINEAU,ND,58318,2021,2
