"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Canadian Imperial Bank of Commerce","12303","Canada","Foreign Bank","2020.0","1.0"
"Agence Francaise de Development [AFD]","10950","France","Development Finance Institution","2020.0","1.0"
"Bank of China Ltd","11773","China","Asia-Pacific Bank, Finance Company","2020.0","1.0"
"China Construction Bank Jiangsu Branch","21482","China","Asia-Pacific Bank, Finance Company","2020.0","1.0"
"CBT Bank","149736","United States","US Bank","2020.0","1.0"
"Royal Bank of Canada","11142","Canada","Foreign Bank","2020.0","1.0"
"Bank of Montreal","12677","Canada","Foreign Bank","2020.0","1.0"
"US Bank NA","32997","United States","US Bank","2020.0","1.0"
"PNC Bank","31840","United States","US Bank","2020.0","1.0"
"UniCredit","57267","Italy","","2020.0","1.0"
"Mediobanca SpA [Banca di Credito Finanziario SpA]","95937","Italy","","2020.0","1.0"
"IMI - Intesa Sanpaolo [ex-Banca IMI]","94136","Italy","","2020.0","1.0"
"Palatine Bank & Trust [PBT]","85874","United States","US Bank, Western European Bank","2020.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]","97222","France","US Bank, Western European Bank","2020.0","1.0"
"Credit du Nord","97322","France","Western European Bank","2020.0","1.0"
"Banca Nazionale del Lavoro SpA [BNL]","58819","Italy","","2020.0","1.0"
"BNP Paribas SA","98068","France","","2020.0","1.0"
"Credit Industriel et Commercial SA [CIC]","101531","France","Western European Bank","2020.0","1.0"
"Credit Mutuel Arkea Group","97676","France","US Bank, Western European Bank","2020.0","1.0"
"Cadence Bank NA","101682","United States","US Bank","2020.0","1.0"
"Deutsche Bank AG","10669","Germany","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"Landesbank Baden-Wurttemberg [LBBW]","10670","Germany","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, Other","2020.0","1.0"
"Agricultural Bank of China","11002","China","Asia-Pacific Bank","2020.0","1.0"
"Agricultural Bank of China Hong Kong Branch","13429","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
"Agricultural Bank of China Shanghai","15709","China","Asia-Pacific Bank","2020.0","1.0"
"Commerzbank AG","11279","Germany","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"National Westminster Bank Plc","11320","United Kingdom","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"Bank of East Asia Ltd","11393","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
"BBVA","77776","Spain","Corporation, Other, Western European Bank","2020.0","1.0"
"Varagon Capital Partners","114658","United States","Corporation, Other, Western European Bank","2020.0","1.0"
"Banco Santander SA","11671","Spain","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"Bank of China Jiangxi","105145","China","Asia-Pacific Bank","2020.0","1.0"
"Bank of China Jiangsu Branch","11778","China","Asia-Pacific Bank","2020.0","1.0"
"Bank of China Shanghai Branch","11780","China","Asia-Pacific Bank","2020.0","1.0"
"Bank of China Suzhou Gusu Sub-Branch","139133","China","Asia-Pacific Bank, Foreign Bank","2020.0","1.0"
"Bank of China (Hong Kong) Ltd","14887","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
"Bank of China Luxembourg","32385","Luxembourg","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"China Merchants Bank Co Ltd","11784","China","Asia-Pacific Bank","2020.0","1.0"
"CMB Wing Lung Bank Ltd","142044","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
"National Rural Utilities Cooperative Finance Corp","12000","United States","Finance Company, US Bank","2020.0","1.0"
"Nanyang Commercial Bank Ltd","127169","Hong Kong","Asia-Pacific Bank, Foreign Bank","2020.0","1.0"
"Jiangsu Binhai Rural Commercial Bank","125027","China","Asia-Pacific Bank","2020.0","1.0"
"China Everbright Bank","12528","China","Asia-Pacific Bank, Other","2020.0","1.0"
"Hang Seng Bank Ltd","12711","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
"China Construction Bank (Asia) Ltd","15090","China","Asia-Pacific Bank, Other","2020.0","1.0"
"JP Morgan","14261","United States","Finance Company, US Bank","2020.0","1.0"
"China Minsheng Banking Corp","14711","China","Asia-Pacific Bank","2020.0","1.0"
"SunTrust Bank","49246","United States","US Bank","2020.0","1.0"
"Bank of America","15447","United States","Finance Company, US Bank","2020.0","1.0"
"Rural Commercial Bank Of Yancheng","151595","China","Asia-Pacific Bank","2020.0","1.0"
"China Citic Bank International","20689","China","Asia-Pacific Bank, Other","2020.0","1.0"
"National Bank of Ras Al-Khaimah [Rakbank]","16812","United Arab Emirates","Middle Eastern Bank","2020.0","1.0"
"Bank of Jiangsu Nantong","105133","China","Asia-Pacific Bank","2020.0","1.0"
"Bank of Jiangsu Suzhou","121724","China","Asia-Pacific Bank, Foreign Bank","2020.0","1.0"
"Bank of Jiangsu","19056","China","Asia-Pacific Bank","2020.0","1.0"
"Commercial Bank of Dubai PSC","29077","United Arab Emirates","Middle Eastern Bank","2020.0","1.0"
"ING","104608","Netherlands","Asia-Pacific Bank, Western European Bank","2020.0","1.0"
"PNC Bank NA","31841","United States","Asset Manager, US Bank","2020.0","1.0"
"Hongkong & Shanghai Banking Corp Ltd","18058","Hong Kong","Asia-Pacific Bank, Other","2020.0","1.0"
