"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Agricultural Bank of China Yiwu","109036","China","Asia-Pacific Bank","2014.0","1.0"
"Shixing Public Rural Bank","113942","China","Asia-Pacific Bank","2014.0","1.0"
"AFS Group BV","120334","Netherlands","Western European Bank","2014.0","1.0"
"Industrial & Commercial Bank of China Shaoguan","113948","China","Asia-Pacific Bank","2014.0","1.0"
"Industrial & Commercial Bank of China Yiwu","114032","China","Asia-Pacific Bank","2014.0","1.0"
"Industrial & Commercial Bank of China","12714","China","Asia-Pacific Bank","2014.0","1.0"
"Shanghai Pudong Development Bank","13254","China","Asia-Pacific Bank","2014.0","1.0"
"IKB Deutsche Industrie Bank AG","16148","Germany","Western European Bank","2014.0","1.0"
"UniCredit","57267","Italy","Western European Bank","2014.0","1.0"
"Barclays","103475","United Kingdom","Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Australia & New Zealand Banking Group Ltd [ANZ]","10476","Australia","Asia-Pacific Bank","2014.0","1.0"
"Private Bank & Trust Co","63674","United States","US Bank","2014.0","1.0"
"Deutsche Bank AG","10669","Germany","Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Agricultural Bank of China","11002","China","Asia-Pacific Bank","2014.0","1.0"
"UBS AG","11126","Switzerland","Investment Bank, Western European Bank","2014.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","US Bank, Western European Bank","2014.0","1.0"
"Hua Nan Commercial Bank Ltd","12080","Taiwan","Asia-Pacific Bank, US Bank","2014.0","1.0"
"BBVA Compass","57073","United States","Foreign Bank, US Bank","2014.0","1.0"
"BBVA","77776","Spain","Foreign Bank, Western European Bank","2014.0","1.0"
"RBS Citizens NA","51237","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Jefferies & Co","45483","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Japan Bank for International Cooperation","13119","Japan","Asia-Pacific Bank","2014.0","1.0"
"Comerica Bank NA","31838","United States","Asia-Pacific Bank, US Bank","2014.0","1.0"
"China Construction Bank (Asia) Ltd","15090","China","Asia-Pacific Bank","2014.0","1.0"
"JP Morgan","14261","United States","US Bank, Western European Bank","2014.0","1.0"
"SunTrust Bank","49246","United States","US Bank, Western European Bank","2014.0","1.0"
"Bank of America","15447","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of America Merrill Lynch","15450","United States","US Bank","2014.0","1.0"
"Credit Suisse AG","17261","Switzerland","Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Huntington Bank","17131","United States","US Bank","2014.0","1.0"
"Morgan Stanley","17669","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Royal Bank of Canada","11142","Canada","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"BMO Harris Bank NA","101691","United States","Investment Bank, Other","2014.0","1.0"
"Bank of Montreal","12677","Canada","Foreign Bank, US Bank","2014.0","1.0"
"BMO Capital Markets Financing Inc","18837","Canada","Foreign Bank, US Bank","2014.0","1.0"
"Wells Fargo & Co","19499","United States","Foreign Bank, US Bank","2014.0","1.0"
"Wells Fargo Bank NA","27004","United States","US Bank","2014.0","1.0"
"Capital One Bank","46962","United States","US Bank","2014.0","1.0"
"US Bank NA","32997","United States","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"Fifth Third Bank","29604","United States","Asia-Pacific Bank, US Bank","2014.0","1.0"
"ING Bank","11660","Netherlands","Foreign Bank, Western European Bank","2014.0","1.0"
"PNC Bank","31840","United States","US Bank","2014.0","1.0"
"Lloyds Bank","49089","United States","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"Goldman Sachs & Co","43219","United States","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"NXT Capital LLC","43844","United States","Finance Company, Inst. Invest. Other, US Bank","2014.0","1.0"
"Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU]","46801","Japan","Asia-Pacific Bank","2014.0","1.0"
"Union Bank NA","55889","United States","US Bank","2014.0","1.0"
"Regions Bank","49928","United States","US Bank","2014.0","1.0"
"CoBank","52582","United States","US Bank, Western European Bank","2014.0","1.0"
"KeyBank","51838","United States","US Bank, Western European Bank","2014.0","1.0"
"Banner Bank","53516","United States","Asia-Pacific Bank, US Bank","2014.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank, US Bank","2014.0","1.0"
"Synovus Bank","103840","United States","Asia-Pacific Bank, US Bank","2014.0","1.0"
"Banca Monte dei Paschi di Siena","58827","Italy","Foreign Bank, Western European Bank","2014.0","1.0"
"Florida Community Banks Inc","62878","United States","Corporation, US Bank","2014.0","1.0"
"Madison Capital Funding LLC","66286","United States","Foreign Bank, US Bank","2014.0","1.0"
"Madison Capital Partners","66287","United States","Finance Company, Inst. Invest. Other, US Bank","2014.0","1.0"
"Golub Capital Inc","71915","United States","Finance Company, Inst. Invest. Other, US Bank","2014.0","1.0"
"Export-Import Bank of China [China Eximbank]","9558","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of the West","50489","United States","US Bank","2014.0","1.0"
"BNP Paribas SA","98068","France","US Bank, Western European Bank","2014.0","1.0"
"Natixis SA","98442","France","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Bladex [Banco Latinoamericano de Exportaciones SA]","11710","Panama","Foreign Bank, Western European Bank","2014.0","1.0"
"Cadence Bank NA","101682","United States","Other, US Bank","2014.0","1.0"
"CTBC Bank Co Ltd","109582","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Rabobank Nederland NV","11097","Netherlands","Asia-Pacific Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Banco do Brasil","11342","Brazil","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"Hua Nan Commercial Ltd Singapore","111135","Singapore","Asia-Pacific Bank","2014.0","1.0"
"Bank of East Asia Ltd","11393","Hong Kong","Asia-Pacific Bank","2014.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [BBVA]","11460","Spain","Corporation, Western European Bank","2014.0","1.0"
"EnTie Commercial Bank","11534","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Taipei Fubon Commercial Bank","16957","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Banco de Credito e Inversiones","110563","Chile","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Santander Central Hispano SA [Brazil]","25865","Brazil","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Bladex [Banco Latinoamericano de Comercio Exterior SA]","11710","Panama","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Taishin International Bank","13034","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Industrial & Commercial Bank of China Qingdao","114067","China","Asia-Pacific Bank","2014.0","1.0"
"Industrial & Commercial Bank of China Ltd [ICBC]","12171","China","Asia-Pacific Bank, Western European Bank","2014.0","1.0"
"Industrial & Commercial Bank of China Shanghai","18069","China","Asia-Pacific Bank","2014.0","1.0"
"Maybank Investment Bank Bhd","33496","Malaysia","Asia-Pacific Bank","2014.0","1.0"
"Land Bank of Taiwan","12292","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Taiwan Business Bank","12462","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Yuanta Commercial Bank Co Ltd","12466","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Hang Seng Bank Ltd","12711","Hong Kong","Asia-Pacific Bank, Western European Bank","2014.0","1.0"
"Northern Trust Co","34537","United States","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Chang Hwa Commercial Bank","13040","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"First Commercial Bank","19525","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Citi","13704","United States","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Citibank","29606","United States","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"JP Morgan Chase Bank NA","17665","United States","Asia-Pacific Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"E Sun Commercial Bank","14382","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Taiwan Cooperative Bank","14761","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Far Eastern International Bank","14764","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Branch Banking & Trust Co","33768","United States","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Ta Chong Bank","16959","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Bank of Taiwan","17729","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Bank of Taiwan Singapore","20812","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Askari Bank Ltd","18453","Pakistan","Asia-Pacific Bank","2014.0","1.0"
"Agricultural Bank of Taiwan","25755","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Produbank SA","26544","Panama","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Banco Itau SA","13413","Brazil","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"HSBC","23803","United Kingdom","Asia-Pacific Bank, Western European Bank","2014.0","1.0"
"HSBC Bank USA NA","50505","United States","Foreign Bank, Investment Bank, US Bank","2014.0","1.0"
"Luso International Bank","44721","Macao","Asia-Pacific Bank, Western European Bank","2014.0","1.0"
"Mega International Commercial Bank Co Ltd","18731","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"First Merit Bank","34352","United States","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Bank of Tokyo-Mitsubishi UFJ (China) Ltd","108834","China","Asia-Pacific Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Banco de Credito del Peru","53153","Peru","Finance Company, Foreign Bank, Other, US Bank, Western European Bank","2014.0","1.0"
"Associated Bank NA","52356","United States","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Nomura Bank Europe","75193","Japan","Corporation, Western European Bank","2014.0","1.0"
"Siemens Financial Services Inc","71442","United States","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Johnson Bank NA","53661","United States","US Bank","2014.0","1.0"
"BDO Unibank","110333","Philippines","Asia-Pacific Bank","2014.0","1.0"
"Export-Import Bank of China Shanghai","114128","China","Asia-Pacific Bank","2014.0","1.0"
"Credit Agricole (Suisse) SA","21393","Switzerland","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Societe Generale SA","97329","France","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Qingdao International Bank","23212","China","Asia-Pacific Bank","2014.0","1.0"
"CIC Lyonnais de Banque","100445","France","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Credit Industriel et Commercial SA [CIC]","101531","France","Asia-Pacific Bank, Finance Company, Other, US Bank, Western European Bank","2014.0","1.0"
"Landesbank Hessen-Thuringen GZ [Helaba]","11847","Germany","Western European Bank","2014.0","1.0"
"Agricultural Bank of China Lianyungang","113034","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of China Lianyungang","112997","China","Asia-Pacific Bank","2014.0","1.0"
"La Banque Postale SA","101709","France","Other, Western European Bank","2014.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","Other, Western European Bank","2014.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, US Bank, Western European Bank","2014.0","1.0"
"Agricultural Bank of China Lishui","112982","China","Asia-Pacific Bank","2014.0","1.0"
"Rabobank","11096","Netherlands","Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Zurcher Kantonalbank [ZKB]","11297","Switzerland","Western European Bank","2014.0","1.0"
"Bank of China Lishui","112989","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of China Ltd","11773","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of China Shanghai Branch","11780","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of China Wuxi","14496","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of China (Hong Kong) Ltd","14887","Hong Kong","Asia-Pacific Bank, US Bank, Western European Bank","2014.0","1.0"
"Amegy Bank NA","49942","United States","Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Monroe Capital Corporation (BDC)","122392","United States","Corporation, Other","2014.0","1.0"
"Monroe Capital Partners Fund LP","123393","United States","Corporation, Other","2014.0","1.0"
"United Overseas Bank","12978","Singapore","Asia-Pacific Bank, US Bank, Western European Bank","2014.0","1.0"
"Shanghai Pudong Development Bank Lishui","113036","China","Asia-Pacific Bank","2014.0","1.0"
"China Construction Bank [CCB]","14108","China","Asia-Pacific Bank, US Bank, Western European Bank","2014.0","1.0"
"Canara Bank","14360","India","Asia-Pacific Bank, Corporation","2014.0","1.0"
"TD Bank NA","50531","United States","Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of Communications Wuxi","102221","China","Asia-Pacific Bank","2014.0","1.0"
"Bank of Communications Shanghai","40246","China","Asia-Pacific Bank","2014.0","1.0"
"OCBC Bank","17270","Singapore","Asia-Pacific Bank, US Bank, Western European Bank","2014.0","1.0"
"India Infrastructure Finance Co Ltd","19014","India","Asia-Pacific Bank, Corporation","2014.0","1.0"
"ING Group","31163","Netherlands","Western European Bank","2014.0","1.0"
"PNC Bank NA","31841","United States","Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"HSBC Bank Plc","10903","United Kingdom","Other, Western European Bank","2014.0","1.0"
"Bank of Fukuoka Ltd","47643","Japan","Asia-Pacific Bank","2014.0","1.0"
"Mizuho Bank Ltd","23894","Japan","Asia-Pacific Bank","2014.0","1.0"
"Resona Bank Ltd","48918","Japan","Asia-Pacific Bank","2014.0","1.0"
"Mitsubishi UFJ Trust & Banking Corp","92660","Japan","Asia-Pacific Bank","2014.0","1.0"
"Cobank ACB","51412","United States","Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Monroe Capital Management Advisors LLC","122552","United States","Other, US Bank","2014.0","1.0"
"Monroe Capital LLC","57402","United States","Other","2014.0","1.0"
"Mediobanca SpA","58830","Italy","Other, Western European Bank","2014.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]","97222","France","Other, Western European Bank","2014.0","1.0"
"SG Corporate & Investment Banking","18605","Netherlands","Other, Western European Bank","2014.0","1.0"
"IDFC Ltd","13987","India","Asia-Pacific Bank, Corporation","2014.0","1.0"
"Credit Mutuel Credit Industriel et Commercial SA [CM-CIC]","86914","France","Other, Western European Bank","2014.0","1.0"
"Shanghai Commercial Bank Ltd","13430","Hong Kong","Asia-Pacific Bank","2014.0","1.0"
"Shanghai Commercial & Savings Bank","13462","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Morgan Stanley Senior Funding Inc","69677","United States","Finance Company","2014.0","1.0"
"Dexia Credit Local SA","97186","France","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Barclays Bank SA","97579","France","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of Nova Scotia","13099","Canada","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Scotia Bank","29285","Canada","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"West LB AG New York Branch","47807","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"DNB Bank ASA","103815","Norway","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"DNB ASA [ex-DnB NOR Bank ASA]","13751","Norway","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Metro Bank","108873","United States","Mutual Fund, US Bank","2014.0","1.0"
"Cassie Centrale Desjardins","10929","Canada","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Silver Oak Capital LLC","75262","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Cortland Capital Market Services LLC","110230","United States","Corporation, Other","2014.0","1.0"
"AloStar Bank of Commerce","110356","United States","Mutual Fund, US Bank","2014.0","1.0"
"First National Bank of Santa Fe","112687","United States","US Bank","2014.0","1.0"
"Southwest Capital Bank","112690","United States","US Bank","2014.0","1.0"
"Community Bank of Santa Fe","112699","United States","US Bank","2014.0","1.0"
"Western Commerce Bank","112700","United States","US Bank","2014.0","1.0"
"Four Corners Community Bank","112707","United States","US Bank","2014.0","1.0"
"Pentwater Equity Opportunities Master Fund Ltd","113078","United States","Corporation, Other","2014.0","1.0"
"PWCM Master Fund LTD","113104","United States","Corporation, Other","2014.0","1.0"
"National Bank of Canada","11354","Canada","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Compass Bank","38705","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Santander Bank NA","111453","United States","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"Citizens Bank NA","52640","United States","US Bank","2014.0","1.0"
"Northern Trust","12940","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"First Commerical Bank Macau","21274","Hong Kong","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Citigroup","13703","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"JP Morgan Chase","14263","United States","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"O-Bank Co Ltd (Ex Industrial Bank of Taiwan)","14572","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Toronto Dominion Bank","14846","Canada","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Toronto Dominion Bank [Texas]","93054","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of America NA","46975","United States","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"HSH Nordbank AG","15194","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Provident Bank","48133","United States","Mutual Fund, US Bank","2014.0","1.0"
"DekaBank","32597","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Raymond James Bank NA","111253","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Huntington National Bank","17130","United States","US Bank","2014.0","1.0"
"Morgan Stanley Bank NA","103799","United States","Asia-Pacific Bank, Foreign Bank, Investment Bank, US Bank, Western European Bank","2014.0","1.0"
"RBC Capital Markets","17835","Canada","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Meridian Bank","50286","United States","Mutual Fund, US Bank","2014.0","1.0"
"Bank SinoPac","15335","Taiwan","Asia-Pacific Bank","2014.0","1.0"
"Aozora","57014","Japan","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of Oklahoma","20992","United States","US Bank","2014.0","1.0"
"EFG Eurobank Ergasias SA","98135","Greece","Western European Bank","2014.0","1.0"
"ING","104608","Netherlands","Western European Bank","2014.0","1.0"
"National Penn Bank","77604","United States","Mutual Fund, US Bank","2014.0","1.0"
"DEPFA ACS Bank Ltd","15826","Ireland","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Norddeutsche Landesbank GZ [NordLB]","18381","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Goldman Sachs Group Inc","26805","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Commonwealth Bank of Australia","44923","Australia","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Banco Comafi SA","47973","Argentina","Asia-Pacific Bank, Foreign Bank, Western European Bank","2014.0","1.0"
"M&T Bank","48436","United States","US Bank","2014.0","1.0"
"Regions","119466","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Bank of New York Mellon","50203","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Raiffeisen Bank International AG [RBI]","51170","Austria","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"First Niagara Bank","51951","United States","Mutual Fund, US Bank","2014.0","1.0"
"Unicredit Bank Austria AG","23272","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Omega Bank","60932","United States","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Wilmington Savings Fund Society","87204","United States","Mutual Fund, US Bank","2014.0","1.0"
"Macquarie Capital Funding LP","14223","Australia","Finance Company, Inst. Invest. Other","2014.0","1.0"
"Washington Federal Savings Bank","92959","United States","US Bank","2014.0","1.0"
"Hellenic Bank Ltd","93531","Cyprus","Western European Bank","2014.0","1.0"
"Banco de la Ciudad de Buenos Aires","96174","Argentina","Asia-Pacific Bank, Foreign Bank, Western European Bank","2014.0","1.0"
"Credit Agricole","119938","France","Asia-Pacific Bank, Corporation, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Credit Agricole SA","97457","France","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Alpha Bank AE","97505","Greece","Western European Bank","2014.0","1.0"
"Caixa Geral de Depositos SA [CGD]","97914","Portugal","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"Caixa Banco do Investimento SA [CaixaBI]","98153","Portugal","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2014.0","1.0"
"National Bank of Greece SA","98328","Greece","Western European Bank","2014.0","1.0"
"Tikehau Investment Management SAS [TIM]","98398","France","Finance Company, Inst. Invest. Other","2014.0","1.0"
"Piraeus Bank SA","98453","Greece","Western European Bank","2014.0","1.0"
"BECM","60576","France","Western European Bank","2014.0","1.0"
"Sumitomo Mitsui Trust Bank Ltd","103322","Japan","Asia-Pacific Bank, Western European Bank","2014.0","1.0"
