"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Barclays Bank Plc","11130","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Scotia Capital","14682","Canada","Foreign Bank, US Bank","2007.0","1.0"
"Portigon AG [ex-WestLB AG]","16128","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"CIBC Capital Partners","65729","Canada","Finance Company, Foreign Bank","2007.0","1.0"
"BayernLB","10858","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"RBS Securities Corp","50506","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Hua Nan Commercial Bank Ltd","12080","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"BBVA","77776","Spain","Western European Bank","2007.0","1.0"
"Banco Santander (Brasil) SA","10752","Brazil","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Bank of Kaohsiung Ltd","12463","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Yuanta Commercial Bank Co Ltd [Fuhwa Commercial Bank]","12465","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Danske Bank A/S","12736","Denmark","Western European Bank","2007.0","1.0"
"European Investment Bank [EIB]","13355","Luxembourg","Western European Bank","2007.0","1.0"
"Shin Kong Commercial Bank","29619","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Citigroup","13703","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Banco de Sabadell SA [Spain]","14233","Spain","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"JP Morgan","14261","United States","Corporation, Investment Bank, US Bank","2007.0","1.0"
"ICO [Instituto de Credito Oficial]","14416","Spain","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Standard Chartered Markets","11686","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Skandinaviska Enskilda Banken AB [SEB]","11314","Sweden","Western European Bank","2007.0","1.0"
"Taiwan Cooperative Commercial Bank Co Ltd","14762","Taiwan","Asia-Pacific Bank","2007.0","1.0"
"Toronto Dominion Bank","14846","Canada","Finance Company, Foreign Bank","2007.0","1.0"
"TD Securities","16412","Canada","Foreign Bank, US Bank","2007.0","1.0"
"Bank of America","15447","United States","Foreign Bank, US Bank","2007.0","1.0"
"Merrill Lynch International Bank Ltd","16668","Ireland","Western European Bank","2007.0","1.0"
"Merrill Lynch & Co Inc","7175","United States","Corporation, Investment Bank, US Bank","2007.0","1.0"
"HSH Nordbank AG","15194","Germany","Western European Bank","2007.0","1.0"
"Nordea Bank AB","16858","Norway","Finance Company, Western European Bank","2007.0","1.0"
"Ta Chong Bank","16959","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Morgan Stanley","17669","United States","Corporation, Investment Bank, US Bank","2007.0","1.0"
"Central Trust of China","14571","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"RBC Capital Markets","17835","Canada","Foreign Bank, US Bank","2007.0","1.0"
"Wells Fargo & Co","19499","United States","US Bank","2007.0","1.0"
"Jih Sun International Bank","22686","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Taiwan Finance Corp","22704","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"ING Bank","11660","Netherlands","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Sunny Bank","36250","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Lloyds Bank Plc [ex-Lloyds TSB Bank Plc]","37996","United Kingdom","Western European Bank","2007.0","1.0"
"Lloyds Bank","49089","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"HSBC","23803","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"NordLB Group","42826","Germany","Western European Bank","2007.0","1.0"
"Bankia [ex-Caja Madrid]","46652","Spain","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Caja de Ahorros Municipal de Burgos","47300","Spain","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Mizuho Bank Ltd","23894","Japan","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Bank of Tokyo-Mitsubishi UFJ Trust Co","49683","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Fortis Bank SA/NV [Dutch-Belgian Entity]","50222","Belgium","Western European Bank","2007.0","1.0"
"Emigrant Bank","50425","United States","US Bank","2007.0","1.0"
"UniCredit Group (HVB)","47981","Italy","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Danish Ship Finance A/S [Danmarks Skibskreditfond]","66321","Denmark","Finance Company, Western European Bank","2007.0","1.0"
"Sanpaolo IMI SpA","86424","Italy","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"KBC Bank NV","49315","Belgium","Western European Bank","2007.0","1.0"
"Asia Trust Development Bank","94706","Philippines","Asia-Pacific Bank, Finance Company, Foreign Bank","2007.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon Bank]","13524","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2007.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon]","98070","France","Western European Bank","2007.0","1.0"
