"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"PrivateBank","53944","United States","US Bank","2016.0","1.0"
"Turkiye Garanti Bankasi AS","9011","Turkey","Middle Eastern Bank, Western European Bank","2016.0","1.0"
"Danske Bank A/S","12736","Denmark","Western European Bank","2016.0","1.0"
"Northern Trust","12940","United States","US Bank","2016.0","1.0"
"Nordea Bank AB","16858","Norway","Western European Bank","2016.0","1.0"
"Royal Bank of Canada","11142","Canada","Foreign Bank","2016.0","1.0"
"ING","104608","Netherlands","Middle Eastern Bank, Western European Bank","2016.0","1.0"
"Odea Bank","105298","Turkey","Middle Eastern Bank, Western European Bank","2016.0","1.0"
"Turkiye Is Bankasi AS [Isbank]","9429","Turkey","Middle Eastern Bank, Western European Bank","2016.0","1.0"
"DenizBank AS","6571","Turkey","Middle Eastern Bank, Western European Bank","2016.0","1.0"
"Bank of China Ltd","11773","China","Asia-Pacific Bank","2016.0","1.0"
"China Construction Bank [CCB]","14108","China","Asia-Pacific Bank","2016.0","1.0"
"PTC India Financials Services Ltd","102786","India","Asia-Pacific Bank, Other","2016.0","1.0"
"Sumitomo Mitsui Trust Bank Ltd","103322","Japan","Asia-Pacific Bank, Insurance Company","2016.0","1.0"
"DNB Capital LLC","113764","United States","Asia-Pacific Bank, Other, US Bank, Western European Bank","2016.0","1.0"
"Bank of Jinhua","107298","China","Asia-Pacific Bank","2016.0","1.0"
"CTBC Bank Co Ltd","109582","Taiwan","Asia-Pacific Bank","2016.0","1.0"
"Tokyo Star Bank","50945","Japan","Asia-Pacific Bank","2016.0","1.0"
"Agricultural Bank of China","11002","China","Asia-Pacific Bank","2016.0","1.0"
"Agricultural Bank of China Shanghai","15709","China","Asia-Pacific Bank","2016.0","1.0"
"Kiryu Shinkin Bank","114379","Japan","Asia-Pacific Bank","2016.0","1.0"
"BBVA","77776","Spain","European Bank, Multinational Investment Bank & Financial Services, US Bank","2016.0","1.0"
"Taipei Fubon Commercial Bank","16957","Taiwan","Asia-Pacific Bank","2016.0","1.0"
"Citizens Bank NA","52640","United States","European Bank, Multinational Investment Bank & Financial Services, US Bank","2016.0","1.0"
"State Bank of Travancore","16022","India","Asia-Pacific Bank","2016.0","1.0"
"Bank of China Shanghai Branch","11780","China","Asia-Pacific Bank","2016.0","1.0"
"Taishin International Bank","13034","Taiwan","Asia-Pacific Bank","2016.0","1.0"
"Industrial & Commercial Bank of China Jinhua","113920","China","Asia-Pacific Bank","2016.0","1.0"
"Industrial & Commercial Bank of China Huzhou","121711","China","Asia-Pacific Bank","2016.0","1.0"
"Indian Bank","16621","India","Asia-Pacific Bank","2016.0","1.0"
"Export-Import Bank of the Republic of China","12661","Taiwan","Asia-Pacific Bank","2016.0","1.0"
"Shanghai Pudong Development Bank Hangzhou","114280","China","Asia-Pacific Bank","2016.0","1.0"
"Public Bank Bhd","13509","Malaysia","Asia-Pacific Bank","2016.0","1.0"
"Citibank Taipei","26934","Taiwan","Asia-Pacific Bank","2016.0","1.0"
