"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Citibank","29606","United States","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"TD Bank NA","50531","United States","Canadian Bank, US Bank","2022.0","1.0"
"Bank of America","15447","United States","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Wells Fargo & Co","19499","United States","Multinational Investment Bank & Financial Services","2022.0","1.0"
"Wells Fargo Bank NA","27004","United States","Multinational Investment Bank & Financial Services","2022.0","1.0"
"PNC Bank NA","31841","United States","Canadian Bank, US Bank","2022.0","1.0"
"Goldman Sachs & Co","43219","United States","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Credit Agricole","119938","France","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"International Islamic Trade Finance Corp [ITFC]","124115","Saudi Arabia","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"Chaabi International Bank Offshore [CIBO]","129207","Morocco","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"Islamic Corporation for the Insurance of Investment and Export Credit","138788","Saudi Arabia","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"OPEC Fund for International Development [OFID]","72404","Austria","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"Union de Banques Arabes et Francaises [UBAF]","97567","France","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"Attijariwafa Bank","97924","Morocco","African Bank, Development Finance Institution, European Bank","2022.0","1.0"
"National Westminster Bank Plc","11320","United Kingdom","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Hua Nan Commercial Bank Ltd","12080","Taiwan","Asian Bank","2022.0","1.0"
"Citizens Bank NA","52640","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Bank of China Changzhou Branch","18469","China","Asian Bank","2022.0","1.0"
"KGI Bank","118227","Taiwan","Asian Bank","2022.0","1.0"
"Land Bank of Taiwan","12292","Taiwan","Asian Bank","2022.0","1.0"
"China Everbright Bank","12528","China","Asian Bank","2022.0","1.0"
"Yuanta Commercial Bank Co Ltd","12466","Taiwan","Asian Bank","2022.0","1.0"
"Chang Hwa Commercial Bank","13040","Taiwan","Asian Bank","2022.0","1.0"
"First Commercial Bank","19525","Taiwan","Asian Bank","2022.0","1.0"
"Citigroup","13703","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Citi","13704","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Cathay United Bank","12290","Taiwan","Asian Bank","2022.0","1.0"
"JP Morgan Chase Bank NA","17665","United States","Multinational Investment Bank & Financial Services","2022.0","1.0"
"E Sun Commercial Bank","14382","Taiwan","Asian Bank","2022.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Bank of Taiwan","17729","Taiwan","Asian Bank","2022.0","1.0"
"Bank of America Securities","62312","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Riyad Bank [RB]","17109","Saudi Arabia","Middle Eastern Bank","2022.0","1.0"
"Bank SinoPac","15335","Taiwan","Asian Bank","2022.0","1.0"
"ING","104608","Netherlands","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"ING Bank","11660","Netherlands","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"ING Capital LLC","52090","United States","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Sunny Bank","36250","Taiwan","Asian Bank","2022.0","1.0"
"HSBC Bank Plc","10903","United Kingdom","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"HSBC","23803","United Kingdom","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Mega International Commercial Bank Co Ltd","18731","Taiwan","Asian Bank","2022.0","1.0"
"MUFG Bank Ltd","138429","Japan","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Mitsubishi UFJ Financial Group Inc","49511","Japan","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Keybanc Capital Markets","51639","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"KeyBank","51838","United States","Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank","2022.0","1.0"
"Intesa Sanpaolo SpA [ISP]","69226","Italy","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Societe Generale SA","97329","France","European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Banque Internationale a Luxembourg SA [BIL]","13370","Luxembourg","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
"Federation des Caisses Desjardins du Quebec","157420","United States","Canadian Bank","2022.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Bank of Nova Scotia","13099","Canada","Canadian Bank","2022.0","1.0"
"Australia & New Zealand Banking Group Ltd [ANZ]","10476","Australia","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Canadian Bank","2022.0","1.0"
"Deutsche Bank AG","10669","Germany","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
"DBS Bank (Hong Kong) Ltd","11183","Hong Kong","European Bank","2022.0","1.0"
"Agricultural Bank of China","11002","China","Asian Bank","2022.0","1.0"
"National Bank of Canada","11354","Canada","Canadian Bank","2022.0","1.0"
"Bank of East Asia Ltd","11393","Hong Kong","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [BBVA]","11460","Spain","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Fubon Bank (Hong Kong) Ltd","13251","Hong Kong","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
"Taipei Fubon Commercial Bank","16957","Taiwan","Asian Bank","2022.0","1.0"
"Banco Santander SA","11671","Spain","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"State Bank of India","11744","India","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Bank of China Jiaxing","104769","China","Asian Bank","2022.0","1.0"
"Bank of China Taizhou","113004","China","Asian Bank","2022.0","1.0"
"Bank of China Ltd","11773","China","Asian Bank","2022.0","1.0"
"Bank of China (Hong Kong) Ltd","14887","Hong Kong","Asian Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Bank of China Xuzhou","18874","China","Asian Bank","2022.0","1.0"
"CMB Wing Lung Bank Ltd","142044","Hong Kong","Asian Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"KfW IPEX-Bank GmbH","28488","Germany","European Bank","2022.0","1.0"
"Nanyang Commercial Bank Ltd","127169","Hong Kong","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
"Dah Sing Bank Ltd","12340","Hong Kong","Asian Bank","2022.0","1.0"
"Taiwan Business Bank","12462","Taiwan","Asian Bank","2022.0","1.0"
"Banque Populaire Grand Ouest","138084","France","European Bank","2022.0","1.0"
"BRED Banque Populaire SA","93959","France","European Bank","2022.0","1.0"
"Hang Seng Bank Ltd","12711","Hong Kong","Asian Bank, European Bank, Multinational Investment Bank & Financial Services","2022.0","1.0"
"Chiyu Banking Corp","12876","Hong Kong","Asian Bank, Australian/New Zealand Bank, European Bank","2022.0","1.0"
