"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Caisse Centrale Desjardins","10928","Canada","Foreign Bank, US Bank","2006.0","1.0"
"Lehman Brothers Inc","48129","United States","Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Bank of Nova Scotia","13099","Canada","Foreign Bank, US Bank","2006.0","1.0"
"Scotiabanc Inc","53520","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Portigon AG [ex-WestLB AG]","16128","Germany","Western European Bank","2006.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Foreign Bank, US Bank","2006.0","1.0"
"Deutsche Bank AG","10669","Germany","Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Deutsche Bank Trust Co Americas","54986","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"Commerzbank AG","11279","Germany","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Sovereign Bank","51547","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Indian Bank","16621","India","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"United Overseas Bank","12978","Singapore","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"UOB Asia","20401","Singapore","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"Citigroup","13703","United States","Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Citicorp North America Inc","51189","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"Comerica Bank","31836","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"ICICI Bank","17587","India","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"JP Morgan Chase Bank NA","17665","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"E Sun Commercial Bank Ltd","14383","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"TD Banknorth NA","50527","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"SunTrust Bank","49246","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Bank of America","15447","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"Bank of Communications Co Ltd","16250","China","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Credit Suisse First Boston","53223","Switzerland","Investment Bank","2006.0","1.0"
"OCBC Bank","17270","Singapore","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"Morgan Stanley Senior Funding Inc","69677","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"Bank of Montreal","12677","Canada","Foreign Bank, US Bank","2006.0","1.0"
"Wachovia Bank NA","45500","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"AmMerchant Bank Bhd","23148","Malaysia","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"US Bank NA","32997","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Arab Bank Plc","9245","Jordan","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"ING Bank","11660","Netherlands","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"ING Capital LLC","52090","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"GE Capital Corp","31221","United States","Finance Company, US Bank","2006.0","1.0"
"Merrill Lynch Capital Corp","54090","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"National City Bank","15279","United States","Foreign Bank, US Bank","2006.0","1.0"
"Lloyds Bank Plc [ex-Lloyds TSB Bank Plc]","37996","United Kingdom","Western European Bank","2006.0","1.0"
"Goldman Sachs & Co","43219","United States","Investment Bank","2006.0","1.0"
"North Fork Business Capital","66396","United States","Finance Company","2006.0","1.0"
"Bank of New York","50202","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Dymas Capital","92512","United States","Finance Company, US Bank","2006.0","1.0"
"Keybank NA","26206","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"UniCredito Italiano SpA","47979","Italy","Western European Bank","2006.0","1.0"
"Banca di Roma SpA","93663","Italy","Western European Bank","2006.0","1.0"
"AC Finance BV","61339","United States","Finance Company, US Bank","2006.0","1.0"
"Antares Holdings","61916","United States","Finance Company, US Bank","2006.0","1.0"
"Intesa Sanpaolo SpA [ex-Banca Intesa SpA]","69227","Italy","Western European Bank","2006.0","1.0"
"VTB Bank Europe Plc [Ex-Moscow Narodny Bank Ltd]","15296","United Kingdom","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"PT Bank Panin","96064","Indonesia","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"Bank Bukopin","95438","Indonesia","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"Societe Generale SA","97329","France","Investment Bank, Western European Bank","2006.0","1.0"
"National Bank of Kuwait SAK [NBK]","97690","Kuwait","Asia-Pacific Bank, East. Europe/Russian Bank, Middle Eastern Bank, Western European Bank","2006.0","1.0"
"Banca Nazionale del Lavoro SpA [BNL]","58819","Italy","Western European Bank","2006.0","1.0"
"Bank Leumi USA","52837","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"UniCredit Banca d'Impresa SpA [UBI]","93396","Italy","Western European Bank","2006.0","1.0"
"Bipop Carire SpA","93833","Italy","Western European Bank","2006.0","1.0"
"Banca Monte dei Paschi di Siena","58827","Italy","Western European Bank","2006.0","1.0"
"Sanpaolo IMI SpA","86424","Italy","Western European Bank","2006.0","1.0"
"Lehman Commercial Paper Inc","52849","United States","Finance Company, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Barclays Bank SA","97579","France","Finance Company, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"European Bank for Reconstruction & Development (EBRD)","10479","United Kingdom","Western European Bank","2006.0","1.0"
"Rabobank","11096","Netherlands","US Bank, Western European Bank","2006.0","1.0"
"Commerzbank Corporates & Markets [ex-Dresdner Kleinwort Wasserstein]","26125","Germany","Western European Bank","2006.0","1.0"
"Citizens Bank NA","52640","United States","US Bank","2006.0","1.0"
"Raiffeisen Zentralbank Osterreich AG [RZB]","12386","Austria","Western European Bank","2006.0","1.0"
"Danske Bank A/S","12736","Denmark","Western European Bank","2006.0","1.0"
"Northern Trust","12940","United States","US Bank","2006.0","1.0"
"JP Morgan","14261","United States","Finance Company, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"LaSalle Bank NA","45419","United States","Finance Company, Foreign Bank, Investment Bank, US Bank","2006.0","1.0"
"LaSalle Business Credit","60555","United States","Finance Company, US Bank","2006.0","1.0"
"Merrill Lynch & Co Inc","7175","United States","Finance Company, Foreign Bank, Investment Bank, US Bank","2006.0","1.0"
"CIT Group Inc","1616","United States","Finance Company, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Nordea Bank AB","16858","Norway","Western European Bank","2006.0","1.0"
"Credit Suisse AG","17261","Switzerland","Finance Company, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Harris BankCorp","19100","United States","US Bank, Western European Bank","2006.0","1.0"
"Harris NA","26799","United States","Finance Company, US Bank","2006.0","1.0"
"Harris Nesbitt","51415","United States","Finance Company, US Bank","2006.0","1.0"
"Wells Fargo Bank NA","27004","United States","Finance Company, Foreign Bank, Investment Bank, US Bank","2006.0","1.0"
"Wachovia Bank","45499","United States","US Bank","2006.0","1.0"
"General Electric Capital Corp","31220","United States","Finance Company, US Bank","2006.0","1.0"
"National Penn Bancshares Inc","32037","United States","US Bank","2006.0","1.0"
"Hudson United Bank","51233","United States","US Bank","2006.0","1.0"
"Associated Bank NA","52356","United States","Finance Company, US Bank","2006.0","1.0"
"CapitalSource Finance LLC","55396","United States","Finance Company, Investment Bank, US Bank","2006.0","1.0"
"Korea Exchange Bank","97275","South Korea","Asia-Pacific Bank","2006.0","1.0"
"Bank of the West","50489","United States","US Bank","2006.0","1.0"
"Kookmin Bank","9108","South Korea","Asia-Pacific Bank","2006.0","1.0"
"Chuo Mitsui Trust & Banking","24768","Japan","Asia-Pacific Bank","2006.0","1.0"
"Sumitomo Trust & Banking Co Ltd","45428","Japan","Asia-Pacific Bank","2006.0","1.0"
"ANZ Investment Bank","14019","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"Export Development Canada [EDC]","10549","Canada","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Westpac Banking Corp","11013","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"National Australia Bank Ltd [NAB]","11024","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"UBS AG","11126","Switzerland","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"ABN AMRO Bank NV [RBS]","10679","Netherlands","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"ABN AMRO Australia Ltd","10849","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"National Bank of Canada","11354","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"GarantiBank International NV [GBI]","10277","Netherlands","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [BBVA]","11460","Spain","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Land Bank of Taiwan","12292","Taiwan","Asia-Pacific Bank, Finance Company","2006.0","1.0"
"Bank of Kaohsiung Ltd","12463","Taiwan","Asia-Pacific Bank, Finance Company","2006.0","1.0"
"Chang Hwa Commercial Bank","13040","Taiwan","Asia-Pacific Bank","2006.0","1.0"
"China United Trust & Investment Corp","14202","Taiwan","Asia-Pacific Bank, Finance Company","2006.0","1.0"
"Toronto Dominion Bank","14846","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Canadian Western Bank","15823","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Caja de Ahorros del Mediterraneo SA [US]","48261","United States","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Banco Inbursa","17927","Mexico","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Central Trust of China","14571","Taiwan","Asia-Pacific Bank, Finance Company","2006.0","1.0"
"Bank of Taiwan","17729","Taiwan","Asia-Pacific Bank","2006.0","1.0"
"Wells Fargo Bank","27003","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Aozora Bank","26224","Japan","Asia-Pacific Bank","2006.0","1.0"
"GE Capital Australia Finance","38670","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"GE Capital Markets Inc","51645","United States","Finance Company, US Bank","2006.0","1.0"
"PNC Bank","31840","United States","US Bank","2006.0","1.0"
"Alberta Treasury Branches","33197","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Hokuriku Bank Ltd","33789","Japan","Asia-Pacific Bank","2006.0","1.0"
"BOS International (Australia) Ltd","11213","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"HSBC","23803","United Kingdom","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"International Commercial Bank of China","18732","Taiwan","Asia-Pacific Bank","2006.0","1.0"
"Commonwealth Bank of Australia","44923","Australia","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"ABN AMRO Inc","17106","Netherlands","Foreign Bank, Investment Bank, US Bank, Western European Bank","2006.0","1.0"
"Mizuho Corporate Bank Ltd","36755","Japan","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"M&T Bank","48436","United States","US Bank","2006.0","1.0"
"Resona Bank Ltd","48918","Japan","Asia-Pacific Bank","2006.0","1.0"
"Shoko Chukin Bank","48828","Japan","Asia-Pacific Bank","2006.0","1.0"
"Fortis SA/NV [ex-Fortis Bank SA/NV]","50223","Belgium","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"Fortis Capital Corp","63891","United States","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Key Bank NA","26205","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank","2006.0","1.0"
"HypoVereinsbank","24532","Germany","Asia-Pacific Bank, Finance Company, Investment Bank, Western European Bank","2006.0","1.0"
"Bayerische Hypo-und Vereinsbank AG [BHV]","24533","Germany","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"AC Finance LLC","61338","United States","Finance Company, US Bank","2006.0","1.0"
"GMAC Bank","50559","United States","Finance Company, US Bank","2006.0","1.0"
"Highland Capital Corp","71918","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Eaton Vance Funds","73369","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Hokuyo Bank","78556","Japan","Asia-Pacific Bank","2006.0","1.0"
"Turkiye Is Bankasi AS [Isbank]","9429","Turkey","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon]","98070","France","Middle Eastern Bank, US Bank, Western European Bank","2006.0","1.0"
"Allied Irish Bank (GB)","10495","United Kingdom","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Commerzbank Corporates & Markets [ex-Dresdner Kleinwort Ltd]","16708","Germany","Asia-Pacific Bank, Western European Bank","2006.0","1.0"
"Banco Guipuzcoano SA","11836","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"NewStar Financial Inc","52277","United States","Finance Company","2006.0","1.0"
"Caixa Catalunya International Finance Ltd","16341","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Bear Stearns","63179","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Chase Lincoln First Commercial Corp","84193","United States","Finance Company, US Bank","2006.0","1.0"
"ICO [Instituto de Credito Oficial]","14416","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","Asia-Pacific Bank, Foreign Bank, Western European Bank","2006.0","1.0"
"TD Securities","16412","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Caja de Ahorros del Mediterraneo SA [CAM]","16134","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Royal Bank of Canada","11142","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Wells Fargo & Co","19499","United States","US Bank","2006.0","1.0"
"Caja de Castilla-La Mancha","33864","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Caja de Avila SA","35265","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Bank of Scotland Plc","10503","United Kingdom","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Caja de Burgos","39428","Spain","Foreign Bank, Western European Bank","2006.0","1.0"
"Hibernia Bank","46963","United States","Finance Company, US Bank, Western European Bank","2006.0","1.0"
"Union Bank of California NA","12182","United States","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU]","46801","Japan","Asia-Pacific Bank, Foreign Bank, Western European Bank","2006.0","1.0"
"Sumitomo Bank","31823","Japan","Asia-Pacific Bank, Western European Bank","2006.0","1.0"
"First Horizon Bank","73447","United States","US Bank","2006.0","1.0"
"BNP Paribas (Canada)","20417","Canada","Foreign Bank, Trust Company, US Bank","2006.0","1.0"
"Caixa Nova","18820","Brazil","Foreign Bank, Western European Bank","2006.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","Foreign Bank, US Bank, Western European Bank","2006.0","1.0"
"Barclays Capital","17594","United Kingdom","Western European Bank","2006.0","1.0"
"DZ Bank AG","10543","Germany","US Bank, Western European Bank","2006.0","1.0"
"CIBC World Markets","19017","Canada","Foreign Bank, US Bank","2006.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, US Bank, Western European Bank","2006.0","1.0"
"Compass Bank","38705","United States","US Bank","2006.0","1.0"
"Helaba Bank - Landesbank Hessen-Thuringen New York","20582","Germany","US Bank, Western European Bank","2006.0","1.0"
"Jefferies & Co","45483","United States","Foreign Bank, Investment Bank, US Bank","2006.0","1.0"
"Industrial & Commercial Bank of China Ltd [ICBC]","12171","China","Asia-Pacific Bank","2006.0","1.0"
"RZB-Austria Singapore","89586","Austria","Asia-Pacific Bank, US Bank, Western European Bank","2006.0","1.0"
"Export-Import Bank of the Republic of China","12661","Taiwan","Asia-Pacific Bank, US Bank, Western European Bank","2006.0","1.0"
