"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Barclays Bank Plc","11130","United Kingdom","Western European Bank","2012.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","Western European Bank","2012.0","1.0"
"Lloyds Banking Group Plc","38362","United Kingdom","Western European Bank","2012.0","1.0"
"Norddeutsche Landesbank GZ [NordLB]","18381","Germany","Western European Bank","2012.0","1.0"
"Walt Disney Co","5545","United States","Corporation","2012.0","1.0"
"Export-Import Bank of China [China Eximbank]","9558","China","","2012.0","1.0"
"BNP Paribas SA","98068","France","Western European Bank","2012.0","1.0"
"Svenska Handelsbanken AB (publ) [SHBA]","10500","Sweden","Western European Bank","2012.0","1.0"
"Swedbank AB (publ)","12245","Sweden","Western European Bank","2012.0","1.0"
"OP Financial Group [ex-Pohjola Bank Plc]","22703","Finland","Western European Bank","2012.0","1.0"
"Cadence Bank NA","101682","United States","Corporation, Other, US Bank","2012.0","1.0"
"Suncorp-Metway Insurance Ltd","17352","Australia","Asia-Pacific Bank, Insurance Company","2012.0","1.0"
"Private Bank & Trust Co","63674","United States","US Bank","2012.0","1.0"
"AB Svensk Exportkredit (SEK)","105354","Switzerland","East. Europe/Russian Bank, Western European Bank","2012.0","1.0"
"Compass Bank","38705","United States","US Bank","2012.0","1.0"
"BBVA","77776","Spain","Western European Bank","2012.0","1.0"
"Banco Santander SA","11671","Spain","Western European Bank","2012.0","1.0"
"Banco Popular Espanol SA","15353","Spain","Western European Bank","2012.0","1.0"
"Amegy Bank NA","49942","United States","Corporation, Other, US Bank","2012.0","1.0"
"Banca Comerciala Romana SA [Romanian Commercial Bank]","12127","Romania","East. Europe/Russian Bank","2012.0","1.0"
"United Overseas Bank","12978","Singapore","Asia-Pacific Bank","2012.0","1.0"
"Comerica Bank NA","31838","United States","Foreign Bank, US Bank","2012.0","1.0"
"Banco de Sabadell SA","14232","Spain","Western European Bank","2012.0","1.0"
"Scandinaviska Enskilda Banken (SEBank)","11310","Sweden","East. Europe/Russian Bank, Western European Bank","2012.0","1.0"
"TD Bank NA","50531","United States","Foreign Bank, US Bank","2012.0","1.0"
"BB&T Corp","22047","United States","Corporation, Other, US Bank","2012.0","1.0"
"SunTrust Bank","49246","United States","Asia-Pacific Bank, US Bank","2012.0","1.0"
"Bank of America Merrill Lynch","15450","United States","Corporation, Other, US Bank","2012.0","1.0"
"Nordea Bank AB","16858","Norway","East. Europe/Russian Bank, Western European Bank","2012.0","1.0"
"Oversea-Chinese Banking Corp Ltd [OCBC]","17269","Singapore","Asia-Pacific Bank","2012.0","1.0"
"Wells Fargo & Co","19499","United States","Corporation, Other, US Bank","2012.0","1.0"
"Wells Fargo Bank","27003","United States","Asia-Pacific Bank, US Bank","2012.0","1.0"
"PNC Bank","31840","United States","US Bank","2012.0","1.0"
"PNC Bank NA","31841","United States","Foreign Bank, US Bank","2012.0","1.0"
"Commonwealth Bank of Australia","44923","Australia","Asia-Pacific Bank, Insurance Company","2012.0","1.0"
"Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU]","46801","Japan","Asia-Pacific Bank, US Bank","2012.0","1.0"
"Union Bank NA","55889","United States","Foreign Bank, US Bank","2012.0","1.0"
"Regions Bank","49928","United States","US Bank","2012.0","1.0"
"Key Bank NA","26205","United States","US Bank","2012.0","1.0"
"Amalgamated Bank","53437","United States","US Bank","2012.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]","97222","France","East. Europe/Russian Bank, Western European Bank","2012.0","1.0"
"SG Corporate & Investment Banking","18605","Netherlands","East. Europe/Russian Bank, Western European Bank","2012.0","1.0"
"BRD Groupe Societe Generale","41449","Romania","East. Europe/Russian Bank","2012.0","1.0"
"Banco de Valencia SA","14424","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"La Caixa [La Caja de Ahorros I Pensions de Barcelona]","16902","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Barclays","103475","United Kingdom","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Deutsche Bank AG","10669","Germany","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Agricultural Bank of China","11002","China","Asia-Pacific Bank","2012.0","1.0"
"Bank of East Asia Ltd","11393","Hong Kong","Asia-Pacific Bank","2012.0","1.0"
"BBVA Compass","57073","United States","Foreign Bank, Investment Bank, Other, US Bank","2012.0","1.0"
"Taipei Fubon Commercial Bank","16957","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Banesto","20142","Mexico","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Tai Fung Bank Macau","102864","Macao","Asia-Pacific Bank","2012.0","1.0"
"Bank of China Shanghai Branch","11780","China","Asia-Pacific Bank","2012.0","1.0"
"Bank of China Macau","39456","China","Asia-Pacific Bank","2012.0","1.0"
"Abanca [ex-NCG Banco SA [Novagalicia Banco]]","103761","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Land Bank of Taiwan","12292","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Bank of Kaohsiung Ltd","12463","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Yuanta Commercial Bank Co Ltd","12466","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Bankinter SA","12787","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Chang Hwa Commercial Bank","13040","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Comerica Bank","31836","United States","Foreign Bank, Investment Bank, Other, US Bank","2012.0","1.0"
"Caja Castilla la Mancha [CCM]","43513","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"China Construction Bank [CCB]","14108","China","Asia-Pacific Bank","2012.0","1.0"
"Banco Sabadell","11674","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Caixa d'Estalvis de Catalunya SA [Caixa Catalunya]","14235","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"JP Morgan","14261","United States","Corporation, US Bank","2012.0","1.0"
"O-Bank Co Ltd (Ex Industrial Bank of Taiwan)","14572","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"OneWest Bank","57218","United States","Foreign Bank, Investment Bank, Other, US Bank","2012.0","1.0"
"Bank of Communications Co Ltd","16250","China","Asia-Pacific Bank","2012.0","1.0"
"Taichung Commercial Bank","19537","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Bank SinoPac","15335","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"Banco CEISS [ex-Caja Espana de Inversiones]","24716","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Agricultural Bank of Taiwan","25755","Taiwan","Asia-Pacific Bank","2012.0","1.0"
"US Bank NA","32997","United States","Foreign Bank, Investment Bank, Other, US Bank","2012.0","1.0"
"Instituto Valenciano de Finanzas","29783","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Bank of Yokohama","36017","Japan","Asia-Pacific Bank","2012.0","1.0"
"Kutxa","39847","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"EBN Banco","41418","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Goldman Sachs & Co","43219","United States","Foreign Bank, Investment Bank, Other, US Bank","2012.0","1.0"
"Norinchukin Bank","43946","Japan","Asia-Pacific Bank","2012.0","1.0"
"CajaSur [Caja de Ahorros y Monte de Piedad de Cordoba SA]","16342","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Bankia [ex-Caja Madrid]","46652","Spain","Corporation, Foreign Bank, Other, US Bank, Western European Bank","2012.0","1.0"
"Mizuho Corporate Bank Ltd","36755","Japan","Asia-Pacific Bank","2012.0","1.0"
"Banca Carige SpA","48538","Italy","Western European Bank","2012.0","1.0"
"Banca Popolare di Milano SCaRL [BPM]","48542","Italy","Western European Bank","2012.0","1.0"
