"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"PTC India Financials Services Ltd","102786","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"Scotiabank","103593","Canada","Foreign Bank, US Bank","2017.0","1.0"
"Santander Bank NA","111453","United States","US Bank","2017.0","1.0"
"Citizens Financial Group","116754","United States","Foreign Bank, US Bank","2017.0","1.0"
"Bank of China Ltd","11773","China","Asia-Pacific Bank","2017.0","1.0"
"Industrial & Commercial Bank of China Ltd [ICBC]","12171","China","Asia-Pacific Bank","2017.0","1.0"
"Dena Bank","13604","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"Banco Bice SA","13801","Chile","Asia-Pacific Bank, Foreign Bank","2017.0","1.0"
"Axis Bank Ltd","14195","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"JP Morgan Chase Bank NA","17665","United States","Foreign Bank, US Bank","2017.0","1.0"
"Canara Bank","14360","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"SunTrust Bank","49246","United States","US Bank","2017.0","1.0"
"Bank of America","15447","United States","Foreign Bank, US Bank","2017.0","1.0"
"Provident Bank","48133","United States","US Bank","2017.0","1.0"
"Aditya Birla Finance Ltd","104035","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"Credit Suisse AG","17261","Switzerland","Western European Bank","2017.0","1.0"
"Bank of Montreal","12677","Canada","Foreign Bank, US Bank","2017.0","1.0"
"Wells Fargo & Co","19499","United States","US Bank","2017.0","1.0"
"Wells Fargo Bank","27003","United States","Foreign Bank, US Bank","2017.0","1.0"
"United Bank of India","20729","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"South Indian Bank Ltd","21366","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"IDBI Bank Ltd","9678","India","Asia-Pacific Bank, Corporation, Other","2017.0","1.0"
"Regions Bank","49928","United States","Foreign Bank, US Bank","2017.0","1.0"
"Iyo Bank Ltd","50268","Japan","Asia-Pacific Bank, Foreign Bank","2017.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank, Foreign Bank","2017.0","1.0"
"National Australia Bank Ltd [NAB]","11024","Australia","Asia-Pacific Bank, Corporation","2017.0","1.0"
"Citigroup","13703","United States","US Bank","2017.0","1.0"
"National Commercial Bank (Saudi Arabia) [NCB] [AlAhli Bank]","16713","Saudi Arabia","Middle Eastern Bank","2017.0","1.0"
"Samba Financial Group","18408","Saudi Arabia","Middle Eastern Bank","2017.0","1.0"
"ICG Australia Senior Loan Fund","132008","Australia","Asia-Pacific Bank, Corporation","2017.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","Finance Company, US Bank, Western European Bank","2017.0","1.0"
"Bank of Nova Scotia","13099","Canada","Finance Company, Foreign Bank","2017.0","1.0"
"CIBC [Canadian Imperial Bank of Commerce]","12302","Canada","Foreign Bank, US Bank, Western European Bank","2017.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Corporation, Foreign Bank, US Bank","2017.0","1.0"
"Private Bank & Trust Co","63674","United States","Finance Company, Foreign Bank, Other, US Bank","2017.0","1.0"
"Deutsche Bank AG","10669","Germany","US Bank, Western European Bank","2017.0","1.0"
"Capital Bank NA","60367","United States","US Bank","2017.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, Foreign Bank","2017.0","1.0"
"CTBC Bank Co Ltd","109582","Taiwan","Asia-Pacific Bank, Foreign Bank, Investment Bank, Western European Bank","2017.0","1.0"
"Farm Credit Mid-America PCA","111424","United States","Finance Company, Foreign Bank, Other, US Bank","2017.0","1.0"
"Commerzbank AG","11279","Germany","Western European Bank","2017.0","1.0"
"National Bank Financial","58470","United States","Finance Company, Foreign Bank","2017.0","1.0"
