"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"La Caixa [La Caja de Ahorros I Pensions de Barcelona]","16902","Spain","Western European Bank","2008.0","1.0"
"Portigon AG [ex-WestLB AG]","16128","Germany","Western European Bank","2008.0","1.0"
"DNB ASA [ex-DnB NOR Bank ASA]","13751","Norway","Asia-Pacific Bank, Other, Western European Bank","2008.0","1.0"
"DnB NOR Bank ASA Singapore Branch","29524","Singapore","Corporation, Western European Bank","2008.0","1.0"
"Deutsche Postbank International SA","15740","Luxembourg","Foreign Bank","2008.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [BBVA]","11460","Spain","Western European Bank","2008.0","1.0"
"Banco Espanol de Credito SA [Banesto]","14236","Spain","Western European Bank","2008.0","1.0"
"Landesbank Hessen-Thuringen GZ [Helaba]","11847","Germany","Western European Bank","2008.0","1.0"
"Swedbank AB (publ)","12245","Sweden","Western European Bank","2008.0","1.0"
"Fokus Bank ASA","11678","Norway","Corporation, Western European Bank","2008.0","1.0"
"First Abu Dhabi Bank [ex-National Bank of Abu Dhabi PJSC [NBAD]]","19618","United Arab Emirates","Middle Eastern Bank","2008.0","1.0"
"Citibank","29606","United States","Finance Company, US Bank","2008.0","1.0"
"Banco de Sabadell SA","14232","Spain","Western European Bank","2008.0","1.0"
"ICO [Instituto de Credito Oficial]","14416","Spain","Western European Bank","2008.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","Western European Bank","2008.0","1.0"
"Bank of America","15447","United States","Finance Company, US Bank","2008.0","1.0"
"Credit Suisse AG","17261","Switzerland","Western European Bank","2008.0","1.0"
"Wachovia Bank","45499","United States","Finance Company, US Bank","2008.0","1.0"
"Noor Islamic Bank PJSC [NIB]","29072","United Arab Emirates","Middle Eastern Bank","2008.0","1.0"
"General Electric Capital Corp","31220","United States","Finance Company, US Bank","2008.0","1.0"
"Lloyds Bank Plc [ex-Lloyds TSB Bank Plc]","37996","United Kingdom","Western European Bank","2008.0","1.0"
"Bankia [ex-Caja Madrid]","46652","Spain","Western European Bank","2008.0","1.0"
"Office National du Ducroire [ONDD] [Belgian Export Credit Agency]","47325","Belgium","Asia-Pacific Bank, Other, Western European Bank","2008.0","1.0"
"Fortis SA/NV [ex-Fortis Bank SA/NV]","50223","Belgium","Western European Bank","2008.0","1.0"
"KeyBank","51838","United States","US Bank","2008.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank, Other, Western European Bank","2008.0","1.0"
"Gulf International Bank BSC [GIB]","6893","Bahrain","Middle Eastern Bank","2008.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon]","98070","France","Western European Bank","2008.0","1.0"
"BNP Paribas SA","98068","France","Western European Bank","2008.0","1.0"
"Korea Trade Insurance Corp [Ex-Korea Export Insurance Corp [KEIC]]","99254","South Korea","Western European Bank","2008.0","1.0"
"Yes Bank","17010","India","Asia-Pacific Bank","2008.0","1.0"
"Cadence Bank NA","101682","United States","Other, US Bank","2008.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","US Bank, Western European Bank","2008.0","1.0"
"Bank of Nova Scotia","13099","Canada","Foreign Bank, US Bank, Western European Bank","2008.0","1.0"
"Scotia Bank","29285","Canada","Foreign Bank","2008.0","1.0"
"Deutsche Bank AG","10669","Germany","Foreign Bank, US Bank, Western European Bank","2008.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, Foreign Bank, Western European Bank","2008.0","1.0"
"BayernLB","10858","Germany","Western European Bank","2008.0","1.0"
