"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Barclays Bank Plc","11130","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Scotia Bank","29285","Canada","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Svenska Handelsbanken AB (publ) [SHBA]","10500","Sweden","Western European Bank","2010.0","1.0"
"Allied Irish Banks Plc [AIB]","10750","Ireland","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Bayerische Landesbank GZ [BayernLB]","10857","Germany","Western European Bank","2010.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Alliance & Leicester Plc","12636","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Citizens Bank NA","52640","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"State Bank of Indore","14011","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"State Bank of Bikaner & Jaipur","15441","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"State Bank of Hyderabad","15442","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"State Bank of Travancore","16022","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"State Bank of Mysore","16038","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Landesbank Hessen-Thuringen GZ [Helaba]","11847","Germany","Western European Bank","2010.0","1.0"
"Bank of Ireland Group","12675","Ireland","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Axis Bank Ltd","14195","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"JP Morgan","14261","United States","US Bank","2010.0","1.0"
"Skandinaviska Enskilda Banken AB [SEB]","11314","Sweden","Western European Bank","2010.0","1.0"
"Toronto Dominion Bank","14846","Canada","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"BB&T Corp","22047","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"SunTrust Bank","49246","United States","Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"BB&T Capital Markets","52355","United States","Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"Bank of America Merrill Lynch","15450","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"UCO Bank","15637","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Union Bank of India","15842","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"State Bank of Patiala","16227","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Cooperative Bank Plc","16473","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Nordea Bank AB","16858","Norway","Western European Bank","2010.0","1.0"
"Bank of Taiwan","17729","Taiwan","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"Royal Bank of Canada","11142","Canada","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"Corporation Bank","18040","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Bank of India","18427","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Wells Fargo & Co","19499","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"Oriental Bank of Commerce","20411","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Life Insurance Corp of India","20623","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"United Bank of India","20729","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"US Bank NA","32997","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"ING Bank NV","11662","Netherlands","Western European Bank","2010.0","1.0"
"PNC Bank","31840","United States","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"Lloyds Banking Group Plc","38362","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"HSBC Bank Plc","10903","United Kingdom","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
"HSBC","23803","United Kingdom","Corporation, Foreign Bank, US Bank, Western European Bank","2010.0","1.0"
"Punjab National Bank","9112","India","Asia-Pacific Bank, Insurance Company","2010.0","1.0"
"Natixis SA","98442","France","Asia-Pacific Bank, Finance Company, Foreign Bank, Western European Bank","2010.0","1.0"
