"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"La Caixa [La Caja de Ahorros I Pensions de Barcelona]","16902","Spain","Western European Bank","2011.0","1.0"
"Bank of Nova Scotia","13099","Canada","Asia-Pacific Bank, Foreign Bank, Trust Company, US Bank","2011.0","1.0"
"Portigon AG [ex-WestLB AG]","16128","Germany","Western European Bank","2011.0","1.0"
"DZ Bank AG","10543","Germany","Western European Bank","2011.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Asia-Pacific Bank, Foreign Bank, Trust Company, US Bank","2011.0","1.0"
"CIBC World Markets","19017","Canada","Asia-Pacific Bank, Foreign Bank, Trust Company, US Bank, Western European Bank","2011.0","1.0"
"CIBC Capital Partners","65729","Canada","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2011.0","1.0"
"Nacional Financiera","10639","Mexico","Foreign Bank, Western European Bank","2011.0","1.0"
"Deutsche Bank AG","10669","Germany","Western European Bank","2011.0","1.0"
"Banco Nacional de Comercio Exterior SNC","10821","Mexico","Foreign Bank, Western European Bank","2011.0","1.0"
"BRE Bank SA [Bank Rozwoju Eksportu SA]","98144","Poland","East. Europe/Russian Bank","2011.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","US Bank, Western European Bank","2011.0","1.0"
"National Bank of Canada","11354","Canada","Asia-Pacific Bank, Foreign Bank, Trust Company, US Bank, Western European Bank","2011.0","1.0"
"National Bank Financial","58470","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2011.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [BBVA]","11460","Spain","Western European Bank","2011.0","1.0"
"Banco Santander SA","11671","Spain","Western European Bank","2011.0","1.0"
"Banco Espanol de Credito SA [Banesto]","14236","Spain","Western European Bank","2011.0","1.0"
"Grupo Banco Popular","15354","Spain","Western European Bank","2011.0","1.0"
"Santander Investment Bank","22544","Spain","Western European Bank","2011.0","1.0"
"SBI Capital Markets","12514","India","Asia-Pacific Bank, Corporation, Finance Company","2011.0","1.0"
"KfW IPEX-Bank GmbH","28488","Germany","Foreign Bank, Middle Eastern Bank, US Bank, Western European Bank","2011.0","1.0"
"Industrial & Commercial Bank of China Ltd [ICBC]","12171","China","","2011.0","1.0"
"Banco Security SA","12342","Chile","Foreign Bank, Middle Eastern Bank, US Bank, Western European Bank","2011.0","1.0"
"Indian Bank","16621","India","Asia-Pacific Bank, Corporation, Finance Company","2011.0","1.0"
"Indian Overseas Bank","13285","India","Asia-Pacific Bank, Corporation, Finance Company","2011.0","1.0"
"First Financial Bank","77777","United States","US Bank","2011.0","1.0"
"Dena Bank","13604","India","Asia-Pacific Bank, Corporation, Finance Company","2011.0","1.0"
"Citigroup","13703","United States","Finance Company, Foreign Bank, Trust Company, US Bank, Western European Bank","2011.0","1.0"
"Citibank","29606","United States","US Bank, Western European Bank","2011.0","1.0"
"Citicorp USA Inc","60604","United States","Finance Company, Foreign Bank, US Bank","2011.0","1.0"
"Banco de Sabadell SA","14232","Spain","Western European Bank","2011.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","US Bank, Western European Bank","2011.0","1.0"
"Toronto Dominion Bank","14846","Canada","Asia-Pacific Bank, Foreign Bank, Trust Company, US Bank","2011.0","1.0"
