"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Bank of Nova Scotia","13099","Canada","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"Chinatrust Commercial Bank Ltd","14380","Taiwan","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","Western European Bank","2013.0","1.0"
"Export-Import Bank of the United States of America","92775","United States","","2013.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","Middle Eastern Bank, Western European Bank","2013.0","1.0"
"Bank of America Merrill Lynch","15450","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"China Citic Bank","16052","China","Asia-Pacific Bank","2013.0","1.0"
"Corporation Bank","18040","India","Asia-Pacific Bank","2013.0","1.0"
"Noor Islamic Bank PJSC [NIB]","29072","United Arab Emirates","Middle Eastern Bank, Western European Bank","2013.0","1.0"
"IDBI Bank Ltd","9678","India","Asia-Pacific Bank","2013.0","1.0"
"Norddeutsche Landesbank GZ [NordLB]","18381","Germany","Western European Bank","2013.0","1.0"
"FBN Bank (UK) Ltd [First Bank of Nigeria]","27783","United Kingdom","Western European Bank","2013.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"Export-Import Bank of China [China Eximbank]","9558","China","Asia-Pacific Bank","2013.0","1.0"
"BNP Paribas SA","98068","France","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2013.0","1.0"
"Barclays Bank Plc","11130","United Kingdom","Finance Company, US Bank, Western European Bank","2013.0","1.0"
"Australia & New Zealand Banking Group Ltd [ANZ]","10476","Australia","Asia-Pacific Bank","2013.0","1.0"
"Svenska Handelsbanken AB (publ) [SHBA]","10500","Sweden","Western European Bank","2013.0","1.0"
"DNB ASA","102615","Norway","Western European Bank","2013.0","1.0"
"Bank Gospodarstwa Krajowego [BGK]","107220","Poland","East. Europe/Russian Bank, US Bank, Western European Bank","2013.0","1.0"
"Muenchner Bank eG","108957","Germany","Western European Bank","2013.0","1.0"
"Raiffeisenbank Muenchen-Sued eG","108969","Germany","Western European Bank","2013.0","1.0"
"National Australia Bank Ltd [NAB]","11024","Australia","Asia-Pacific Bank","2013.0","1.0"
"BankPlus","110441","United States","US Bank","2013.0","1.0"
"Rabobank","11096","Netherlands","US Bank, Western European Bank","2013.0","1.0"
"Hua Nan Commercial Bank Ltd","12080","Taiwan","Asia-Pacific Bank, Foreign Bank","2013.0","1.0"
"Taipei Fubon Commercial Bank","16957","Taiwan","Asia-Pacific Bank, Foreign Bank","2013.0","1.0"
"State Bank of Travancore","16022","India","Asia-Pacific Bank","2013.0","1.0"
"State Bank of Mysore","16038","India","Asia-Pacific Bank","2013.0","1.0"
"DG HYP [Deutsche Genossenschafts-Hypothekenbank AG]","13386","Germany","Western European Bank","2013.0","1.0"
"Shin Kong Commercial Bank","29619","Taiwan","Asia-Pacific Bank, Foreign Bank","2013.0","1.0"
