"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Landesbank Baden-Wurttemberg [LBBW]","10670","Germany","Western European Bank","2009.0","1.0"
"Landesbank Berlin AG [LBB]","10689","Germany","Western European Bank","2009.0","1.0"
"Banque Palatine SA","97874","France","Western European Bank","2009.0","1.0"
"First Abu Dhabi Bank [ex-National Bank of Abu Dhabi PJSC [NBAD]]","19618","United Arab Emirates","Middle Eastern Bank","2009.0","1.0"
"Bank of America","15447","United States","US Bank","2009.0","1.0"
"HSBC Bank Middle East Ltd","18227","United Arab Emirates","Middle Eastern Bank","2009.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank","2009.0","1.0"
"KBC Bank NV","49315","Belgium","Western European Bank","2009.0","1.0"
"Export-Import Bank of China [China Eximbank]","9558","China","Asia-Pacific Bank","2009.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon]","98070","France","Western European Bank","2009.0","1.0"
"BNP Paribas SA","98068","France","Western European Bank","2009.0","1.0"
"Natixis SA","98442","France","Western European Bank","2009.0","1.0"
"Credit Industriel et Commercial SA [CIC]","101531","France","Western European Bank","2009.0","1.0"
"Bank of Nova Scotia","13099","Canada","Foreign Bank","2009.0","1.0"
"CIBC World Markets","19017","Canada","Foreign Bank","2009.0","1.0"
"JP Morgan","14261","United States","US Bank","2009.0","1.0"
"Toronto Dominion Bank","14846","Canada","Foreign Bank","2009.0","1.0"
"Caisse de Depot et Placement du Quebec","16223","Canada","Foreign Bank","2009.0","1.0"
"RBC Centura Bank","27609","United States","US Bank","2009.0","1.0"
"BMO Capital Markets Financing Inc","18837","Canada","Foreign Bank","2009.0","1.0"
"Chevy Chase Bank FSB","14089","United States","US Bank","2009.0","1.0"
"Capital One Bank","46962","United States","Foreign Bank, US Bank","2009.0","1.0"
"US Bank NA","32997","United States","US Bank","2009.0","1.0"
"PNC Bank","31840","United States","US Bank","2009.0","1.0"
"Norinchukin Bank","43946","Japan","Asia-Pacific Bank","2009.0","1.0"
"Crescent Banking Co","46362","United States","US Bank","2009.0","1.0"
"Union Bank NA","55889","United States","US Bank","2009.0","1.0"
"Regions Bank","49928","United States","US Bank","2009.0","1.0"
"KeyBank","51838","United States","Foreign Bank, US Bank","2009.0","1.0"
"Nexity Bank","55768","United States","US Bank","2009.0","1.0"
"Green Bank","57074","United States","US Bank","2009.0","1.0"
"Pinnacle Bancorp","67903","United States","US Bank","2009.0","1.0"
"First Tennessee Bank","29835","United States","US Bank","2009.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon Bank]","13524","United States","Finance Company, Western European Bank","2009.0","1.0"
"Bank of the West","50489","United States","US Bank","2009.0","1.0"
"State Bank of India","11744","India","Asia-Pacific Bank, US Bank","2009.0","1.0"
"ICICI Bank","17587","India","Asia-Pacific Bank, US Bank","2009.0","1.0"
"Mutual Trust Bank Ltd","11930","Bangladesh","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Agrani Bank","13398","Bangladesh","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Standard Chartered Bank Plc [SCB]","14558","United Kingdom","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Bank Alfalah","19987","Pakistan","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Trust Bank Ltd","19988","Bangladesh","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Uttara Bank Limited UBL","19993","Bangladesh","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Saudi-Bangladesh Industrial & Agricultural Investment Co Ltd [SABINCO]","19994","Bangladesh","Asia-Pacific Bank, Foreign Bank, Other, Western European Bank","2009.0","1.0"
"Caixa d'Estalvis i Pensions de Barcelona SA","16901","Spain","Western European Bank","2009.0","1.0"
"Chuo Mitsui Trust & Banking","24768","Japan","Asia-Pacific Bank","2009.0","1.0"
"Barclays Bank SA","97579","France","Western European Bank","2009.0","1.0"
"Svenska Handelsbanken AB (publ)","10501","Sweden","US Bank, Western European Bank","2009.0","1.0"
"Deutsche Bank AG","10669","Germany","US Bank, Western European Bank","2009.0","1.0"
