"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Bank of China Ltd","11773","China","Asian Bank","2024.0","1.0"
"Jefferies","120870","United States","Diversified Financial Services Company, Japanese Bank","2024.0","1.0"
"Compeer Financial","135902","United States","US Bank","2024.0","1.0"
"Postal Savings Bank of China","24216","China","Asian Bank","2024.0","1.0"
"Wintrust Financial Corp","42405","United States","US Bank","2024.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Diversified Financial Services Company, Japanese Bank","2024.0","1.0"
"Sumitomo Mitsui Trust Bank Ltd","103322","Japan","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Federation des Caisses Desjardins du Quebec","157420","United States","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Bank of Nova Scotia","13099","Canada","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Export Development Canada [EDC]","10549","Canada","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Shanghai Pudong Development Group Finance Co Ltd","167718","China","Asian Bank","2024.0","1.0"
"Bank of Suzhou","108591","China","Asian Bank","2024.0","1.0"
"Agricultural Bank of China","11002","China","Asian Bank","2024.0","1.0"
"Commerzbank AG","11279","Germany","Asian Bank, European Bank","2024.0","1.0"
"National Bank of Canada","11354","Canada","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Hua Nan Commercial Bank Ltd","12080","Taiwan","Asian Bank","2024.0","1.0"
"BBVA","77776","Spain","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"PT Bank Negara Indonesia","116487","Indonesia","","2024.0","1.0"
"Banco Santander SA","11671","Spain","European Bank","2024.0","1.0"
"Bank of China Shanghai Branch","11780","China","Asian Bank","2024.0","1.0"
"Bank of China Wuxi","14496","China","Asian Bank","2024.0","1.0"
"Bank of China Yancheng Branch","19666","China","Asian Bank","2024.0","1.0"
"KfW IPEX-Bank GmbH","28488","Germany","Asian Bank, Canadian Bank, Development Finance Institution, European Bank, Farm Credit Bank, Japanese Bank, Multinational Investment Bank & Financial Services","2024.0","1.0"
"Taishin International Bank","13034","Taiwan","Asian Bank","2024.0","1.0"
"Industrial & Commercial Bank of China Ltd [ICBC]","12171","China","Asian Bank","2024.0","1.0"
"Land Bank of Taiwan","12292","Taiwan","Asian Bank","2024.0","1.0"
"Taiwan Business Bank","12462","Taiwan","Asian Bank","2024.0","1.0"
"Bank of Kaohsiung Ltd","12463","Taiwan","Asian Bank","2024.0","1.0"
"Hang Seng Bank Ltd","12711","Hong Kong","Asian Bank","2024.0","1.0"
"Northern Trust","12940","United States","US Bank","2024.0","1.0"
"Chang Hwa Commercial Bank Ltd","13041","Taiwan","Asian Bank","2024.0","1.0"
"Shanghai Pudong Development Bank","13254","China","Asian Bank","2024.0","1.0"
"BankUnited Inc","133433","United States","US Bank","2024.0","1.0"
"First Commercial Bank","19525","Taiwan","Asian Bank","2024.0","1.0"
"Bar Harbor Bank & Trust","139502","United States","US Bank","2024.0","1.0"
