"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"LaSalle Business Credit","60555","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Fleet Capital Corp","86359","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"CIT Group Inc","1616","United States","Finance Company, Foreign Bank, US Bank","2005.0","1.0"
"Royal Bank of Canada","11142","Canada","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Investkredit Bank AG","18486","Austria","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Bank of Montreal","12677","Canada","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Harris Trust & Savings Bank","26798","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Harris Nesbitt","51415","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Wells Fargo & Co","19499","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Wells Fargo Bank NA","27004","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Bank of Arkansas NA","68593","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"ING Bank NV","11662","Netherlands","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"General Electric Capital Corp","31220","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Merrill Lynch Capital Corp","54090","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"National City Bank Indiana","21424","United States","US Bank","2005.0","1.0"
"National City Commercial Finance Inc","89685","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Emerging Africa Infrastructure Fund [EAIF]","35339","United Kingdom","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"HSBC Bank USA NA","50505","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
