"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Cadence Bank NA","101682","United States","Canadian Bank, US Bank","2023.0","1.0"
"Canadian Imperial Bank of Commerce","12303","Canada","Canadian Bank, US Bank","2023.0","1.0"
"Agricultural Bank of China","11002","China","Asian Bank","2023.0","1.0"
"Novo Banco SA","116886","Portugal","European Bank","2023.0","1.0"
"Bank of China Ltd","11773","China","Asian Bank","2023.0","1.0"
"Mercedes-Benz Finance Co Ltd","69093","Japan","Business Corporation","2023.0","1.0"
"BPCE SA","126437","France","European Bank","2023.0","1.0"
"Bank of America","15447","United States","Multinational Investment Bank & Financial Services","2023.0","1.0"
"Wells Fargo & Co","19499","United States","Multinational Investment Bank & Financial Services","2023.0","1.0"
"Wells Fargo Bank NA","27004","United States","Multinational Investment Bank & Financial Services","2023.0","1.0"
"ING","104608","Netherlands","European Bank","2023.0","1.0"
"Webster Bank NA","48050","United States","Canadian Bank, US Bank","2023.0","1.0"
"Texas Capital Bank NA","66827","United States","Canadian Bank, US Bank","2023.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]","97222","France","European Bank","2023.0","1.0"
"Banque Courtois SA","97756","France","European Bank","2023.0","1.0"
"Bank of Nova Scotia","13099","Canada","Canadian Bank, Multinational Investment Bank & Financial Services, US Bank","2023.0","1.0"
"Australia & New Zealand Banking Group Ltd [ANZ]","10476","Australia","Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank","2023.0","1.0"
"Deutsche Bank AG","10669","Germany","Multinational Investment Bank & Financial Services","2023.0","1.0"
"DBS Bank Ltd","10854","Singapore","Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank","2023.0","1.0"
"Bain Capital LLC","51981","United States","","2023.0","1.0"
"UBS AG","11126","Switzerland","European Bank","2023.0","1.0"
"National Westminster Bank Plc","11320","United Kingdom","Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank","2023.0","1.0"
