"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Sumitomo Mitsui Trust Bank Ltd","103322","Japan","Asia-Pacific Bank, Middle Eastern Bank","2019.0","1.0"
"Santander Bank NA","111453","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Citizens Bank NA","52640","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Caisse d'Epargne et de Prevoyance Ile-de-France","105512","France","Western European Bank","2019.0","1.0"
"CVC Credit Partners","127175","United States","Corporation, Finance Company","2019.0","1.0"
"Barings Finance LLC","128652","United States","Asset Manager","2019.0","1.0"
"Tree Line Capital Partners","129121","United States","Corporation, Finance Company","2019.0","1.0"
"Toronto Dominion Bank","14846","Canada","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Branch Banking & Trust Co","33768","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"SunTrust Bank","49246","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Royal Bank of Canada","11142","Canada","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Wells Fargo Bank","27003","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Ajman Bank PJSC","20930","United Arab Emirates","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Capital One Bank","46962","United States","US Bank","2019.0","1.0"
"Noor Islamic Bank PJSC [NIB]","29072","United Arab Emirates","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Commercial Bank of Dubai PSC","29077","United Arab Emirates","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Fifth Third Bank","29604","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"PNC Bank","31840","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"ASB Bank","50799","New Zealand","Asia-Pacific Bank","2019.0","1.0"
"Union National Bank [US]","51135","United States","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Keybank NA","26206","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"People's Bank","23078","United States","Finance Company, Foreign Bank, US Bank","2019.0","1.0"
"Antares Holdings","61916","United States","Finance Company","2019.0","1.0"
"Abu Dhabi Commercial Bank PJSC [ADCB]","6990","United Arab Emirates","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Banque Saudi Fransi [Al Bank Al Saudi Al Fransi]","9553","Saudi Arabia","Asia-Pacific Bank, Middle Eastern Bank","2019.0","1.0"
"Credit Agricole SA","97457","France","Western European Bank","2019.0","1.0"
"Societe Generale SA","97329","France","Western European Bank","2019.0","1.0"
"Banque Odier Bungener Courvoisier (OBC)","97711","France","Western European Bank","2019.0","1.0"
"BNP Paribas SA","98068","France","Western European Bank","2019.0","1.0"
"Bank of Baroda","9926","India","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Emirates NBD PJSC","26060","United Arab Emirates","Asia-Pacific Bank, Foreign Bank, Middle Eastern Bank","2019.0","1.0"
"Barclays","103475","United Kingdom","Canadian Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank","2019.0","1.0"
