Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter,original,Match1_RSSD,Match1_Name,Match1_Status,Match1_Asset,Match1_Address,Match1_City,Match1_State,Match1_Zip,Match2_RSSD,Match2_Name,Match2_Status,Match2_Asset,Match2_Address,Match2_City,Match2_State,Match2_Zip
Renesant Bank,124275,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
CIBC Bank USA,135396,United States,"Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Congressional Bank,106301,United States,"Canadian Bank, US Bank",2021,1,Congressional Bank,,,,,,,,,,,,,,,,
West Suburban Bank,107540,United States,"Canadian Bank, US Bank",2021,1,West Suburban Bank,375034,West Suburban Bank,Inactive,2901235.0,701 Westmore Meyers Rd,Lombard,IL,60148.0,129732,Byline Bank,Active,9791356.0,180 N La Salle St,Chicago,IL,60601.0
Flagstar Bank,49883,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,Flagstar Bank,694904,"Flagstar Bank, National Association",Active,91593478.0,102 Duffy Ave,Hicksville,NY,11801.0,694904,New York Community Bank,Inactive,62909410.0,102 Duffy Ave,Hicksville,NY,11801.0
Citizens Bank NA,52640,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
HomeStreet Bank,127948,United States,"Canadian Bank, US Bank",2021,1,HomeStreet Bank,258771,HomeStreet Bank,Inactive,7604778.0,"601 Union Street, Suite 2000",Seattle,WA,98101.0,,,,,,,,
Bank of Hope,136201,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of Hope,671464,Bank of Hope,Active,18501184.0,3200 Wilshire Blvd,Los Angeles,CA,90010.0,352820,"Bank of Mount Hope, Inc.",Inactive,124703.0,602 Main Street,Mount Hope,WV,25880.0
TBK Bank,141300,United States,"Canadian Bank, US Bank",2021,1,TBK Bank,766164,"TBK BANK, SSB",Active,6351153.0,12700 Park Central Dr,Dallas,TX,75251.0,,,,,,,,
JP Morgan Chase Bank NA,17665,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Cross River Bank,156839,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Cross River Bank,3783313,Cross River Bank,Active,8120330.0,2115 Linwood Ave,Fort Lee,NJ,7024.0,,,,,,,,
First Bank Chicago,167249,United States,"Canadian Bank, US Bank",2021,1,First Bank Chicago,804338,First Bank Chicago,Active,2090794.0,1835 1st St,Highland Park,IL,60035.0,852218,"JPMorgan Chase Bank, National Association",Active,3813431000.0,1111 Polaris Pkwy,Columbus,OH,43240.0
LCA Bank Corp,174404,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
BMO Harris Bank NA,101691,United States,Canadian Bank,2021,1,,,,,,,,,,,,,,,,,
Wells Fargo Bank,27003,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Wells Fargo Bank,1225761,Wells Fargo National Bank West,Active,9289489.0,4455 Spring Mountain Rd,Las Vegas,NV,89102.0,451965,"Wells Fargo Bank, National Association",Active,1767105000.0,3201 N 4th Ave,Sioux Falls,SD,57104.0
Wells Fargo Bank,27003,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Wells Fargo Bank,1225761,Wells Fargo National Bank West,Active,9289489.0,4455 Spring Mountain Rd,Las Vegas,NV,89102.0,451965,"Wells Fargo Bank, National Association",Active,1767105000.0,3201 N 4th Ave,Sioux Falls,SD,57104.0
Wells Fargo Bank NA,27004,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Capital One NA,118531,United States,"Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Bremer Bank NA,58475,United States,"Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Old Second Bank,143069,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
M&T Bank,48436,United States,US Bank,2021,1,M&T Bank,542667,Mt. McKinley Bank,Active,639498.0,500 4th Ave,Fairbanks,AK,99701.0,271341,"Peoples Bank, Mt. Washington",Active,121237.0,201 N Bardstown Rd,Mount Washington,KY,40047.0
M&T Bank,48436,United States,US Bank,2021,1,M&T Bank,542667,Mt. McKinley Bank,Active,639498.0,500 4th Ave,Fairbanks,AK,99701.0,271341,"Peoples Bank, Mt. Washington",Active,121237.0,201 N Bardstown Rd,Mount Washington,KY,40047.0
M&T Bank,48436,United States,US Bank,2021,1,M&T Bank,542667,Mt. McKinley Bank,Active,639498.0,500 4th Ave,Fairbanks,AK,99701.0,271341,"Peoples Bank, Mt. Washington",Active,121237.0,201 N Bardstown Rd,Mount Washington,KY,40047.0
First Bank NA,49164,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Banc of California,127813,United States,"Canadian Bank, US Bank",2021,1,Banc of California,494261,Banc of California,Active,33923978.0,11611 San Vicente Blvd,Los Angeles,CA,90049.0,200378,"Banc of California, National Association",Inactive,9238916.0,3 Macarthur Pl,Santa Ana,CA,92707.0
Bank of California,47341,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,Bank of California,388070,Bank of Southern California,Inactive,156519.0,1620 Fifth Avenue,San Diego,CA,92138.0,1443266,"Bank of America California, National Association",Active,15015000.0,555 California St,San Francisco,CA,94104.0
First Merchants Bank NA,58127,United States,"Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Sterling National Bank,51544,United States,US Bank,2021,1,Sterling National Bank,761806,"Webster Bank, National Association",Active,83097405.0,1959 Summer St,Stamford,CT,6905.0,765505,Webster Five Cents Savings Bank,Active,1329695.0,136 Thompson Rd,Webster,MA,1570.0
Old National Bank,51679,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,Old National Bank,208244,Old National Bank,Active,70996954.0,1 Main St,Evansville,IN,47708.0,936136,Old Second National Bank,Active,6981757.0,37 S River St,Aurora,IL,60506.0
Intrust Bank,51999,United States,"Canadian Bank, US Bank",2021,1,Intrust Bank,611657,Intrust Bank,Inactive,43058.0,142 North Ash Street,Valley Center,KS,67147.0,557858,"Intrust Bank, National Association",Active,6804229.0,105 N Main St,Wichita,KS,67202.0
Alliance Bank NA,53515,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Transportation Alliance Bank,55146,United States,"Canadian Bank, US Bank",2021,1,Transportation Alliance Bank,2736219,"Transportation Alliance Bank, Inc. d/b/a TAB Bank",Active,1628722.0,4185 Harrison Blvd,Ogden,UT,84403.0,,,,,,,,
First Bank of Highland Park,60971,United States,"Canadian Bank, US Bank",2021,1,First Bank of Highland Park,,,,,,,,,,,,,,,,
Ally Bank,92462,United States,US Bank,2021,1,Ally Bank,3284070,Ally Bank,Active,180089000.0,200 W Civic Center Dr,Sandy,UT,84070.0,,,,,,,,
East West Bank,93936,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,East West Bank,197478,East West Bank,Active,79081956.0,135 N Los Robles Ave,Pasadena,CA,91101.0,541165,"Eastwest Bank, National Association",Inactive,3754.0,1993 South Kihei Road,Kihei,HI,96753.0
